"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"alugel casa";900;1;0;0;"01/05/2018";"1ª semana";"08/05/2018";"moradia";"2018-05-01";"2018-05-08"
"alugel casa";900;1;0;0;"01/06/2018";"2ª semana";"11/06/2018";"moradia";"2018-06-01";"2018-06-11"
"alugel casa";900;1;0;0;"01/07/2018";"1ª semana";"19/07/2018";"moradia";"2018-07-01";"2018-07-19"
"alugel casa";"974.34";1;0;0;"01/08/2018";"1ª semana";"14/08/2018";"moradia";"2018-08-01";"2018-08-14"
"alugel casa";"974.34";1;0;0;"01/10/2018";"1ª semana";"11/10/2018";"moradia";"2018-10-01";"2018-10-11"
"alugel casa";0;1;0;1;"01/12/2018";"1ª semana";;"moradia";"2018-12-01";"2018-12-01"
"almoço sabado";21;0;1;0;"01/11/2018";"1ª semana";"17/11/2018";"alimentação";"2018-11-01";"2018-11-17"
"almoço";"21.9";0;1;0;"01/01/2018";"1ª semana";"02/01/2018";"alimentação";"2018-01-01";"2018-01-02"
"almoço";"15.31";0;1;0;"01/01/2018";"3ª semana";"31/01/2018";"alimentação";"2018-01-01";"2018-01-31"
"almoço";31;0;1;0;"01/02/2018";"1ª semana";"02/02/2018";"alimentação";"2018-02-01";"2018-02-02"
"almoço";"13.5";0;1;0;"01/02/2018";"2ª semana";"05/02/2018";"alimentação";"2018-02-01";"2018-02-05"
"almoço";"20.9";0;1;0;"01/02/2018";"3ª semana";"16/02/2018";"alimentação";"2018-02-01";"2018-02-16"
"almoço";"30.69";0;1;0;"01/03/2018";"3ª semana";"28/03/2018";"alimentação";"2018-03-01";"2018-03-28"
"almoço";"28.5";0;1;0;"01/04/2018";"2ª semana";"13/04/2018";"alimentação";"2018-04-01";"2018-04-13"
"almoço";25;0;1;0;"01/05/2018";"4ª semana";"21/05/2018";"alimentação";"2018-05-01";"2018-05-21"
"almoço";"25.9";0;1;0;"01/08/2018";"1ª semana";"10/08/2018";"alimentação";"2018-08-01";"2018-08-10"
"almoço";"35.9";0;1;0;"01/08/2018";"3ª semana";"23/08/2018";"alimentação";"2018-08-01";"2018-08-23"
"almoço";25;0;1;0;"01/08/2018";"3ª semana";"27/08/2018";"alimentação";"2018-08-01";"2018-08-27"
"almoço";25;0;1;0;"01/09/2018";"1ª semana";"03/09/2018";"alimentação";"2018-09-01";"2018-09-03"
"almoço";"10.5";0;1;0;"01/09/2018";"3ª semana";"17/09/2018";"alimentação";"2018-09-01";"2018-09-17"
"almoço";23;0;1;0;"01/09/2018";"3ª semana";"17/09/2018";"alimentação";"2018-09-01";"2018-09-17"
"almoço";27;0;1;0;"01/10/2018";"1ª semana";"04/10/2018";"alimentação";"2018-10-01";"2018-10-04"
"almoço";"37.5";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"alimentação";"2018-10-01";"2018-10-08"
"almoço";"7.1";0;1;0;"01/11/2018";"1ª semana";"01/11/2018";"alimentação";"2018-11-01";"2018-11-01"
"almoço";"26.29";0;1;0;"01/11/2018";"1ª semana";"16/11/2018";"alimentação";"2018-11-01";"2018-11-16"
"almoço";"28.8";0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"alimentação";"2018-11-01";"2018-11-19"
"almoço";"24.5";0;1;0;"01/11/2018";"1ª semana";"21/11/2018";"alimentação";"2018-11-01";"2018-11-21"
"almoço";"37.7";0;1;0;"01/11/2018";"1ª semana";"22/11/2018";"alimentação";"2018-11-01";"2018-11-22"
"almoço";46;0;1;0;"01/12/2018";"1ª semana";"03/12/2018";"alimentação";"2018-12-01";"2018-12-03"
"almoço";"14.4";0;1;0;"01/12/2018";"1ª semana";"16/12/2018";"alimentação";"2018-12-01";"2018-12-16"
"almoço";"7.1";0;1;0;"01/12/2018";"1ª semana";"20/12/2018";"alimentação";"2018-12-01";"2018-12-20"
"almoço";"7.1";0;1;0;"01/12/2018";"1ª semana";"21/12/2018";"alimentação";"2018-12-01";"2018-12-21"
"almoco";"52.5";0;1;0;"01/02/2018";"3ª semana";"11/02/2018";"alimentação";"2018-02-01";"2018-02-11"
"almadas";24;0;1;0;"01/05/2018";"5ª semana";"28/05/2018";"alimentação";"2018-05-01";"2018-05-28"
"almadas";24;0;1;0;"01/06/2018";"3ª semana";"24/06/2018";"compras";"2018-06-01";"2018-06-24"
"alimentacao";10;0;1;0;"01/01/2018";"3ª semana";"22/01/2018";"alimentação";"2018-01-01";"2018-01-22"
"alimentacao";"16.26";0;1;0;"01/02/2018";"3ª semana";"16/02/2018";"alimentação";"2018-02-01";"2018-02-16"
"alimand";"6.36";0;1;0;"01/01/2018";"3ª semana";"17/01/2018";"alimentação";"2018-01-01";"2018-01-17"
"alimand";"2.6";0;1;0;"01/03/2018";"2ª semana";"05/03/2018";"alimentação";"2018-03-01";"2018-03-05"
"alimand";"6.6";0;1;0;"01/09/2018";"2ª semana";"14/09/2018";"alimentação";"2018-09-01";"2018-09-14"
"alimand";"20.6";0;1;0;"01/11/2018";"1ª semana";"14/11/2018";"alimentação";"2018-11-01";"2018-11-14"
"algarve";"7.3";0;1;0;"01/09/2018";"1ª semana";"04/09/2018";"alimentação";"2018-09-01";"2018-09-04"
