"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"tapioca";9;0;1;0;"01/12/2018";"1ª semana";"17/12/2018";"alimentação";"2018-12-01";"2018-12-17"
"tahis";"2.5";0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"compras";"2018-03-01";"2018-03-26"
"swift";40;0;1;0;"01/01/2018";"2ª semana";"12/01/2018";"mercado";"2018-01-01";"2018-01-12"
"swift";"93.85";0;1;0;"01/12/2018";"1ª semana";"30/12/2019";"alimentação";"2018-12-01";"2019-12-30"
"surf trip";341;0;1;0;"01/12/2018";"1ª semana";"08/12/2018";"compras";"2018-12-01";"2018-12-08"
"suco sabado";"8.3";0;1;0;"01/11/2018";"1ª semana";"17/11/2018";"alimentação";"2018-11-01";"2018-11-17"
"suco lanche";6;0;1;0;"01/01/2018";"3ª semana";"18/01/2018";"alimentação";"2018-01-01";"2018-01-18"
"suco lanche";4;0;1;0;"01/01/2018";"3ª semana";"31/01/2018";"alimentação";"2018-01-01";"2018-01-31"
"suco lanche";5;0;1;0;"01/02/2018";"1ª semana";"01/02/2018";"alimentação";"2018-02-01";"2018-02-01"
"suco";4;0;1;0;"01/02/2018";"2ª semana";"09/02/2018";"alimentação";"2018-02-01";"2018-02-09"
"suco";4;0;1;0;"01/02/2018";"4ª semana";"23/02/2018";"alimentação";"2018-02-01";"2018-02-23"
"suco";4;0;1;0;"01/02/2018";"4ª semana";"28/02/2018";"alimentação";"2018-02-01";"2018-02-28"
"suco";4;0;1;0;"01/03/2018";"2ª semana";"06/03/2018";"alimentação";"2018-03-01";"2018-03-06"
"suco";4;0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"alimentação";"2018-03-01";"2018-03-19"
"suco";5;0;1;0;"01/03/2018";"3ª semana";"21/03/2018";"alimentação";"2018-03-01";"2018-03-21"
"suco";5;0;1;0;"01/03/2018";"3ª semana";"23/03/2018";"alimentação";"2018-03-01";"2018-03-23"
"suco";5;0;1;0;"01/05/2018";"2ª semana";"10/05/2018";"alimentação";"2018-05-01";"2018-05-10"
"suco";4;0;1;0;"01/05/2018";"3ª semana";"17/05/2018";"alimentação";"2018-05-01";"2018-05-17"
"suco";4;0;1;0;"01/05/2018";"4ª semana";"22/05/2018";"alimentação";"2018-05-01";"2018-05-22"
"suco";5;0;1;0;"01/05/2018";"4ª semana";"22/05/2018";"alimentação";"2018-05-01";"2018-05-22"
"suco";4;0;1;0;"01/05/2018";"4ª semana";"23/05/2018";"alimentação";"2018-05-01";"2018-05-23"
"suco";4;0;1;0;"01/05/2018";"5ª semana";"29/05/2018";"alimentação";"2018-05-01";"2018-05-29"
"suco";5;0;1;0;"01/05/2018";"5ª semana";"30/05/2018";"alimentação";"2018-05-01";"2018-05-30"
"suco";4;0;1;0;"01/06/2018";"1ª semana";"04/06/2018";"alimentação";"2018-06-01";"2018-06-04"
"suco";4;0;1;0;"01/06/2018";"3ª semana";"19/06/2018";"alimentação";"2018-06-01";"2018-06-19"
"suco";"4.5";0;1;0;"01/06/2018";"3ª semana";"19/06/2018";"alimentação";"2018-06-01";"2018-06-19"
"suco";5;0;1;0;"01/06/2018";"3ª semana";"21/06/2018";"alimentação";"2018-06-01";"2018-06-21"
"suco";4;0;1;0;"01/07/2018";"1ª semana";"02/07/2018";"alimentação";"2018-07-01";"2018-07-02"
"suco";4;0;1;0;"01/07/2018";"4ª semana";"23/07/2018";"alimentação";"2018-07-01";"2018-07-23"
"suco";5;0;1;0;"01/07/2018";"4ª semana";"25/07/2018";"alimentação";"2018-07-01";"2018-07-25"
"suco";5;0;1;0;"01/07/2018";"4ª semana";"27/07/2018";"alimentação";"2018-07-01";"2018-07-27"
"suco";5;0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"alimentação";"2018-07-01";"2018-07-30"
"suco";4;0;1;0;"01/08/2018";"3ª semana";"21/08/2018";"alimentação";"2018-08-01";"2018-08-21"
"suco";4;0;1;0;"01/08/2018";"3ª semana";"23/08/2018";"alimentação";"2018-08-01";"2018-08-23"
"suco";4;0;1;0;"01/08/2018";"3ª semana";"28/08/2018";"alimentação";"2018-08-01";"2018-08-28"
"suco";4;0;1;0;"01/09/2018";"2ª semana";"06/09/2018";"alimentação";"2018-09-01";"2018-09-06"
"suco";4;0;1;0;"01/09/2018";"2ª semana";"10/09/2018";"alimentação";"2018-09-01";"2018-09-10"
"suco";5;0;1;0;"01/09/2018";"2ª semana";"13/09/2018";"alimentação";"2018-09-01";"2018-09-13"
"suco";5;0;1;0;"01/09/2018";"3ª semana";"17/09/2018";"alimentação";"2018-09-01";"2018-09-17"
"suco";4;0;1;0;"01/09/2018";"3ª semana";"19/09/2018";"alimentação";"2018-09-01";"2018-09-19"
"suco";5;0;1;0;"01/09/2018";"4ª semana";"26/09/2018";"alimentação";"2018-09-01";"2018-09-26"
"suco";4;0;1;0;"01/09/2018";"4ª semana";"27/09/2018";"alimentação";"2018-09-01";"2018-09-27"
"suco";4;0;1;0;"01/10/2018";"1ª semana";"04/10/2018";"alimentação";"2018-10-01";"2018-10-04"
"suco";10;0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"alimentação";"2018-10-01";"2018-10-15"
"suco";4;0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"alimentação";"2018-11-01";"2018-11-19"
"suco";9;0;1;0;"01/11/2018";"1ª semana";"22/11/2018";"alimentação";"2018-11-01";"2018-11-22"
"suco";6;0;1;0;"01/11/2018";"1ª semana";"27/11/2018";"alimentação";"2018-11-01";"2018-11-27"
"subway";10;0;1;0;"01/02/2018";"2ª semana";"07/02/2018";"alimentação";"2018-02-01";"2018-02-07"
"subway";"16.5";0;1;0;"01/04/2018";"2ª semana";"09/04/2018";"alimentação";"2018-04-01";"2018-04-09"
"subway";17;0;1;0;"01/08/2018";"3ª semana";"24/08/2018";"alimentação";"2018-08-01";"2018-08-24"
"star";"7.5";0;1;0;"01/05/2018";"4ª semana";"21/05/2018";"alimentação";"2018-05-01";"2018-05-21"
"stadium";"10.5";0;1;0;"01/08/2018";"1ª semana";"01/08/2018";"alimentação";"2018-08-01";"2018-08-01"
"spy assist";4;0;1;0;"01/01/2018";"2ª semana";"13/01/2018";"compras";"2018-01-01";"2018-01-13"
"spy assist";7;0;1;0;"01/01/2018";"3ª semana";"26/01/2018";"compras";"2018-01-01";"2018-01-26"
"sptrasnp";82;0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"transporte";"2018-03-01";"2018-03-19"
"sptransp";307;1;0;0;"01/01/2018";"1ª semana";"08/01/2018";"transporte";"2018-01-01";"2018-01-08"
"sptransp";123;1;0;0;"01/02/2018";"1ª semana";"22/02/2018";"transporte";"2018-02-01";"2018-02-22"
"sptransp";50;0;1;0;"01/02/2018";"2ª semana";"08/02/2018";"transporte";"2018-02-01";"2018-02-08"
"sptransp";20;0;1;0;"01/02/2018";"3ª semana";"15/02/2018";"transporte";"2018-02-01";"2018-02-15"
"sptransp";10;0;1;0;"01/02/2018";"3ª semana";"15/02/2018";"transporte";"2018-02-01";"2018-02-15"
"sptransp";20;0;1;0;"01/02/2018";"3ª semana";"16/02/2018";"transporte";"2018-02-01";"2018-02-16"
"sptransp";30;0;1;0;"01/02/2018";"3ª semana";"16/02/2018";"transporte";"2018-02-01";"2018-02-16"
"sptransp";10;0;1;0;"01/02/2018";"4ª semana";"20/02/2018";"transporte";"2018-02-01";"2018-02-20"
"sptransp";0;1;0;1;"01/03/2018";"1ª semana";;"transporte";"2018-03-01";"2018-03-01"
"sptransp";"61.5";0;1;0;"01/03/2018";"2ª semana";"06/03/2018";"transporte";"2018-03-01";"2018-03-06"
"sptransp";"102.5";0;1;0;"01/03/2018";"2ª semana";"12/03/2018";"transporte";"2018-03-01";"2018-03-12"
"sptransp";50;0;1;0;"01/03/2018";"3ª semana";"23/03/2018";"transporte";"2018-03-01";"2018-03-23"
"sptransp";41;0;1;0;"01/03/2018";"3ª semana";"27/03/2018";"transporte";"2018-03-01";"2018-03-27"
"sptransp";50;1;0;0;"01/04/2018";"1ª semana";"22/04/2018";"transporte";"2018-04-01";"2018-04-22"
"sptransp";30;0;1;0;"01/04/2018";"1ª semana";"02/04/2018";"transporte";"2018-04-01";"2018-04-02"
"sptransp";30;0;1;0;"01/04/2018";"3ª semana";"25/04/2018";"transporte";"2018-04-01";"2018-04-25"
"sptransp";30;0;1;0;"01/04/2018";"3ª semana";"27/04/2018";"transporte";"2018-04-01";"2018-04-27"
"sptransp";0;1;0;1;"01/05/2018";"1ª semana";;"transporte";"2018-05-01";"2018-05-01"
"sptransp";50;0;1;0;"01/05/2018";"1ª semana";"03/05/2018";"transporte";"2018-05-01";"2018-05-03"
"sptransp";20;0;1;0;"01/05/2018";"2ª semana";"09/05/2018";"transporte";"2018-05-01";"2018-05-09"
"sptransp";50;0;1;0;"01/05/2018";"2ª semana";"11/05/2018";"transporte";"2018-05-01";"2018-05-11"
"sptransp";"143.5";0;1;0;"01/05/2018";"3ª semana";"15/05/2018";"transporte";"2018-05-01";"2018-05-15"
"sptransp";41;0;1;0;"01/05/2018";"4ª semana";"23/05/2018";"transporte";"2018-05-01";"2018-05-23"
"sptransp";20;0;1;0;"01/05/2018";"4ª semana";"23/05/2018";"transporte";"2018-05-01";"2018-05-23"
"sptransp";20;0;1;0;"01/05/2018";"5ª semana";"28/05/2018";"transporte";"2018-05-01";"2018-05-28"
"sptransp";307;1;0;0;"01/06/2018";"1ª semana";"01/06/2018";"transporte";"2018-06-01";"2018-06-01"
"sptransp";307;1;0;0;"01/07/2018";"1ª semana";"02/07/2018";"transporte";"2018-07-01";"2018-07-02"
"sptransp";307;0;1;0;"01/07/2018";"1ª semana";"31/07/2018";"transporte";"2018-07-01";"2018-07-31"
"sptransp";307;1;0;0;"01/09/2018";"1ª semana";"04/09/2018";"transporte";"2018-09-01";"2018-09-04"
"sptransp";20;0;1;0;"01/09/2018";"1ª semana";"03/09/2018";"transporte";"2018-09-01";"2018-09-03"
"sptransp";30;0;1;0;"01/09/2018";"1ª semana";"03/09/2018";"transporte";"2018-09-01";"2018-09-03"
"sptransp";20;0;1;0;"01/10/2018";"1ª semana";"05/10/2018";"transporte";"2018-10-01";"2018-10-05"
"sptransp";"102.5";0;1;0;"01/10/2018";"1ª semana";"31/10/2018";"transporte";"2018-10-01";"2018-10-31"
"sptransp";20;0;1;0;"01/11/2018";"1ª semana";"10/11/2018";"transporte";"2018-11-01";"2018-11-10"
"sptransp";"102.5";0;1;0;"01/11/2018";"1ª semana";"12/11/2018";"transporte";"2018-11-01";"2018-11-12"
"sptransp";10;0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"transporte";"2018-11-01";"2018-11-19"
"sptransp";"102.5";0;1;0;"01/11/2018";"1ª semana";"19/11/2018";"transporte";"2018-11-01";"2018-11-19"
"sptransp";"61.5";0;1;0;"01/11/2018";"1ª semana";"27/11/2018";"transporte";"2018-11-01";"2018-11-27"
"sptransp";"102.5";0;1;0;"01/12/2018";"1ª semana";"03/12/2018";"transporte";"2018-12-01";"2018-12-03"
"sptransp";20;0;1;0;"01/12/2018";"1ª semana";"11/12/2018";"transporte";"2018-12-01";"2018-12-11"
"sptransp";82;0;1;0;"01/12/2018";"1ª semana";"12/12/2018";"transporte";"2018-12-01";"2018-12-12"
"sptransp";82;0;1;0;"01/12/2018";"1ª semana";"18/12/2018";"transporte";"2018-12-01";"2018-12-18"
"sorvete mcdonalds";16;0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"alimentação";"2018-07-01";"2018-07-30"
"sorvete";"2.5";0;1;0;"01/01/2018";"1ª semana";"06/01/2018";"alimentação";"2018-01-01";"2018-01-06"
"sorvete";9;0;1;0;"01/01/2018";"2ª semana";"11/01/2018";"alimentação";"2018-01-01";"2018-01-11"
"sorvete";"7.5";0;1;0;"01/02/2018";"2ª semana";"07/02/2018";"alimentação";"2018-02-01";"2018-02-07"
"sorvete";10;0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"alimentação";"2018-03-01";"2018-03-26"
"sorvete";9;0;1;0;"01/04/2018";"3ª semana";"24/04/2018";"alimentação";"2018-04-01";"2018-04-24"
"sorvete";"18.76";0;1;0;"01/05/2018";"3ª semana";"14/05/2018";"alimentação";"2018-05-01";"2018-05-14"
"sorvete";14;0;1;0;"01/05/2018";"4ª semana";"24/05/2018";"alimentação";"2018-05-01";"2018-05-24"
"sorvete";"11.6";0;1;0;"01/06/2018";"3ª semana";"26/06/2018";"alimentação";"2018-06-01";"2018-06-26"
"sorvete";6;0;1;0;"01/08/2018";"3ª semana";"24/08/2018";"alimentação";"2018-08-01";"2018-08-24"
"sorvete";8;0;1;0;"01/09/2018";"2ª semana";"11/09/2018";"alimentação";"2018-09-01";"2018-09-11"
"sorvete";7;0;1;0;"01/11/2018";"1ª semana";"28/11/2018";"alimentação";"2018-11-01";"2018-11-28"
"sorvete";"11.44";0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"alimentação";"2018-12-01";"2018-12-24"
"sodie";"13.61";0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"alimentação";"2018-10-01";"2018-10-08"
"soares";"21.99";0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"alimentação";"2018-03-01";"2018-03-19"
"soares";"2.5";0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"alimentação";"2018-03-01";"2018-03-19"
"soares";7;0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"compras";"2018-12-01";"2018-12-24"
"sesc exame medico";10;0;1;0;"01/02/2018";"2ª semana";"10/02/2018";"compras";"2018-02-01";"2018-02-10"
"sesc belez";"29.5";0;1;0;"01/02/2018";"3ª semana";"12/02/2018";"compras";"2018-02-01";"2018-02-12"
"sergio";220;0;1;0;"01/07/2018";"3ª semana";"18/07/2018";"igreja";"2018-07-01";"2018-07-18"
"seminario tx inscrição";80;0;1;0;"01/01/2018";"3ª semana";"26/01/2018";"seminario";"2018-01-01";"2018-01-26"
"seminario mensalidade";"220.59";1;0;0;"01/02/2018";"2ª semana";"05/02/2018";"seminario";"2018-02-01";"2018-02-05"
"seminario mensalidade";"220.59";1;0;0;"01/03/2018";"1ª semana";"06/03/2018";"seminario";"2018-03-01";"2018-03-06"
"seminario mensalidade";"220.59";1;0;0;"01/04/2018";"1ª semana";"05/04/2018";"seminario";"2018-04-01";"2018-04-05"
"seminario mensalidade";"220.59";1;0;0;"01/05/2018";"1ª semana";"04/05/2018";"seminario";"2018-05-01";"2018-05-04"
"seminario mensalidade";"220.59";1;0;0;"01/06/2018";"1ª semana";"05/06/2018";"seminario";"2018-06-01";"2018-06-05"
"seminario mensalidade";"240.59";1;0;0;"01/07/2018";"3ª semana";"10/07/2018";"seminario";"2018-07-01";"2018-07-10"
"seminario mensalidade";"200.59";1;0;0;"01/08/2018";"1ª semana";"06/08/2018";"seminario";"2018-08-01";"2018-08-06"
"seminario mensalidade";"200.59";1;0;0;"01/09/2018";"1ª semana";"05/09/2018";"seminario";"2018-09-01";"2018-09-05"
"seminario mensalidade";"220.59";1;0;0;"01/10/2018";"1ª semana";"11/10/2018";"seminario";"2018-10-01";"2018-10-11"
"seminario mensalidade";"240.59";1;0;0;"01/11/2018";"1ª semana";"19/11/2018";"seminario";"2018-11-01";"2018-11-19"
"SEGURO CARTÃO";"6.03";1;0;0;"01/01/2018";"1ª semana";"10/01/2018";"banco";"2018-01-01";"2018-01-10"
"SEGURO CARTÃO";"6.03";1;0;0;"01/02/2018";"1ª semana";"15/02/2018";"banco";"2018-02-01";"2018-02-15"
"SEGURO CARTÃO";"6.03";1;0;0;"01/03/2018";"1ª semana";"15/03/2018";"banco";"2018-03-01";"2018-03-15"
"SEGURO CARTÃO";"6.18";1;0;0;"01/04/2018";"1ª semana";"10/04/2018";"banco";"2018-04-01";"2018-04-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/05/2018";"1ª semana";"10/05/2018";"banco";"2018-05-01";"2018-05-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/06/2018";"1ª semana";"19/06/2018";"banco";"2018-06-01";"2018-06-19"
"SEGURO CARTÃO";"6.18";1;0;0;"01/07/2018";"2ª semana";"10/07/2018";"banco";"2018-07-01";"2018-07-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/08/2018";"1ª semana";"10/08/2018";"banco";"2018-08-01";"2018-08-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/09/2018";"1ª semana";"10/09/2018";"banco";"2018-09-01";"2018-09-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/10/2018";"1ª semana";"10/10/2018";"banco";"2018-10-01";"2018-10-10"
"SEGURO CARTÃO";"6.18";1;0;0;"01/11/2018";"1ª semana";"12/11/2018";"banco";"2018-11-01";"2018-11-12"
"SEGURO CARTÃO";"6.18";1;0;0;"01/12/2018";"1ª semana";"10/12/2018";"banco";"2018-12-01";"2018-12-10"
"saque michelle";500;0;1;0;"01/12/2018";"1ª semana";"15/12/2018";"michelle";"2018-12-01";"2018-12-15"
"saque";100;0;1;0;"01/01/2018";"1ª semana";"26/12/2017";"saque";"2018-01-01";"2017-12-26"
"saque";20;0;1;0;"01/01/2018";"1ª semana";"26/12/2017";"saque";"2018-01-01";"2017-12-26"
"saque";200;0;1;0;"01/02/2018";"1ª semana";"02/02/2018";"compras";"2018-02-01";"2018-02-02"
"saque";20;0;1;0;"01/02/2018";"4ª semana";"21/02/2018";"saque";"2018-02-01";"2018-02-21"
"saque";50;0;1;0;"01/03/2018";"2ª semana";"16/03/2018";"saque";"2018-03-01";"2018-03-16"
"saque";100;0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"saque";"2018-03-01";"2018-03-26"
"saque";20;0;1;0;"01/03/2018";"3ª semana";"28/03/2018";"saque";"2018-03-01";"2018-03-28"
"saque";100;0;1;0;"01/04/2018";"1ª semana";"02/04/2018";"saque";"2018-04-01";"2018-04-02"
"saque";100;0;1;0;"01/04/2018";"2ª semana";"09/04/2018";"saque";"2018-04-01";"2018-04-09"
"saque";150;0;1;0;"01/04/2018";"2ª semana";"10/04/2018";"saque";"2018-04-01";"2018-04-10"
"saque";100;0;1;0;"01/04/2018";"3ª semana";"18/04/2018";"saque";"2018-04-01";"2018-04-18"
"saque";30;0;1;0;"01/05/2018";"2ª semana";"08/05/2018";"saque";"2018-05-01";"2018-05-08"
"saque";80;0;1;0;"01/05/2018";"3ª semana";"14/05/2018";"saque";"2018-05-01";"2018-05-14"
"saque";100;0;1;0;"01/05/2018";"3ª semana";"14/05/2018";"saque";"2018-05-01";"2018-05-14"
"saque";40;0;1;0;"01/05/2018";"4ª semana";"21/05/2018";"saque";"2018-05-01";"2018-05-21"
"saque";50;0;1;0;"01/05/2018";"5ª semana";"26/05/2018";"saque";"2018-05-01";"2018-05-26"
"saque";50;0;1;0;"01/05/2018";"5ª semana";"29/05/2018";"saque";"2018-05-01";"2018-05-29"
"saque";50;0;1;0;"01/06/2018";"1ª semana";"10/06/2018";"feira";"2018-06-01";"2018-06-10"
"saque";50;0;1;0;"01/06/2018";"2ª semana";"12/06/2018";"saque";"2018-06-01";"2018-06-12"
"saque";20;0;1;0;"01/06/2018";"3ª semana";"18/06/2018";"saque";"2018-06-01";"2018-06-18"
"saque";50;0;1;0;"01/07/2018";"1ª semana";"02/07/2018";"saque";"2018-07-01";"2018-07-02"
"saque";120;0;1;0;"01/07/2018";"1ª semana";"05/07/2018";"saque";"2018-07-01";"2018-07-05"
"saque";20;0;1;0;"01/07/2018";"1ª semana";"05/07/2018";"saque";"2018-07-01";"2018-07-05"
"saque";20;0;1;0;"01/07/2018";"2ª semana";"11/07/2018";"saque";"2018-07-01";"2018-07-11"
"saque";20;0;1;0;"01/07/2018";"4ª semana";"23/07/2018";"saque";"2018-07-01";"2018-07-23"
"saque";20;0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"saque";"2018-07-01";"2018-07-30"
"saque";27;0;1;0;"01/08/2018";"1ª semana";"04/08/2018";"saque";"2018-08-01";"2018-08-04"
"saque";150;0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"saque";"2018-08-01";"2018-08-13"
"saque";20;0;1;0;"01/08/2018";"3ª semana";"31/08/2018";"saque";"2018-08-01";"2018-08-31"
"saque";50;0;1;0;"01/09/2018";"3ª semana";"21/09/2018";"saque";"2018-09-01";"2018-09-21"
"saque";100;0;1;0;"01/09/2018";"3ª semana";"21/09/2018";"saque";"2018-09-01";"2018-09-21"
"saque";150;1;0;0;"01/10/2018";"1ª semana";"01/10/2018";"saque";"2018-10-01";"2018-10-01"
"saque";100;0;1;0;"01/10/2018";"1ª semana";"08/10/2018";"saque";"2018-10-01";"2018-10-08"
"saque";50;0;1;0;"01/10/2018";"1ª semana";"10/10/2018";"saque";"2018-10-01";"2018-10-10"
"saque";50;0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"saque";"2018-10-01";"2018-10-15"
"saque";100;0;1;0;"01/11/2018";"1ª semana";"22/11/2018";"saque";"2018-11-01";"2018-11-22"
"saque";50;0;1;0;"01/11/2018";"1ª semana";"22/11/2018";"saque";"2018-11-01";"2018-11-22"
"saque";50;0;1;0;"01/12/2018";"1ª semana";"06/12/2018";"saque";"2018-12-01";"2018-12-06"
"saque";50;0;1;0;"01/12/2018";"1ª semana";"26/12/2018";"saque";"2018-12-01";"2018-12-26"
"saque";100;0;1;0;"01/12/2018";"1ª semana";"29/12/2018";"saque";"2018-12-01";"2018-12-29"
"são camilo";29;0;1;0;"01/10/2018";"1ª semana";"19/10/2018";"estacionamento";"2018-10-01";"2018-10-19"
"são camilo";29;0;1;0;"01/10/2018";"1ª semana";"19/10/2018";"estacionamento";"2018-10-01";"2018-10-19"
"santana";25;0;1;0;"01/12/2018";"1ª semana";"13/12/2018";"alimentação";"2018-12-01";"2018-12-13"
"salgados cha de bebe";218;0;1;0;"01/08/2018";"2ª semana";"14/08/2018";"alimentação";"2018-08-01";"2018-08-14"
"salgado domingo";8;0;1;0;"01/11/2018";"1ª semana";"18/11/2018";"alimentação";"2018-11-01";"2018-11-18"
"salgado aline";156;0;1;0;"01/08/2018";"3ª semana";"27/08/2018";"compras";"2018-08-01";"2018-08-27"
"salada fruta";5;0;1;0;"01/01/2018";"3ª semana";"17/01/2018";"alimentação";"2018-01-01";"2018-01-17"
"roupa eloah";120;0;1;0;"01/11/2018";"1ª semana";"26/11/2018";"compras";"2018-11-01";"2018-11-26"
"roupa";"101.5";0;1;0;"01/08/2018";"3ª semana";"27/08/2018";"compras";"2018-08-01";"2018-08-27"
"rosa";22;0;1;0;"01/12/2018";"1ª semana";"15/12/2018";"compras";"2018-12-01";"2018-12-15"
"rihappy";"149.97";0;1;0;"01/11/2018";"1ª semana";"26/11/2018";"compras";"2018-11-01";"2018-11-26"
"retro";5;0;1;0;"01/06/2018";"1ª semana";"07/06/2018";"compras";"2018-06-01";"2018-06-07"
"retro";"7.5";0;1;0;"01/06/2018";"1ª semana";"07/06/2018";"compras";"2018-06-01";"2018-06-07"
"restaurante norte";"24.71";0;1;0;"01/09/2018";"3ª semana";"17/09/2018";"alimentação";"2018-09-01";"2018-09-17"
"repassa arera geral";"154.52";1;0;0;"01/01/2018";"1ª semana";"05/01/2018";"moradia";"2018-01-01";"2018-01-05"
"repassa arera geral";"154.52";1;0;0;"01/02/2018";"3ª semana";"15/02/2018";"moradia";"2018-02-01";"2018-02-15"
"repassa arera geral";"154.52";1;0;0;"01/03/2018";"1ª semana";"29/03/2018";"moradia";"2018-03-01";"2018-03-29"
"repassa arera geral";"154.52";1;0;0;"01/04/2018";"1ª semana";"06/04/2018";"moradia";"2018-04-01";"2018-04-06"
"repassa arera geral";"154.52";1;0;0;"01/05/2018";"1ª semana";"08/05/2018";"moradia";"2018-05-01";"2018-05-08"
"repassa arera geral";"154.52";1;0;0;"01/06/2018";"2ª semana";"11/06/2018";"moradia";"2018-06-01";"2018-06-11"
"repassa arera geral";0;1;0;1;"01/07/2018";"1ª semana";;"moradia";"2018-07-01";"2018-07-01"
"renovação cnh";130;0;1;0;"01/01/2018";"3ª semana";"17/01/2018";"compras";"2018-01-01";"2018-01-17"
"regis";25;0;1;0;"01/06/2018";"3ª semana";"23/06/2018";"alimentação";"2018-06-01";"2018-06-23"
"reginaldo luva toca samuel";60;0;1;0;"01/05/2018";"4ª semana";"22/05/2018";"compras";"2018-05-01";"2018-05-22"
"reges bar";50;0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"alimentação";"2018-10-01";"2018-10-15"
"reges bar";25;0;1;0;"01/12/2018";"1ª semana";"29/12/2018";"alimentação";"2018-12-01";"2018-12-29"
"rede mais";7;0;1;0;"01/05/2018";"3ª semana";"16/05/2018";"alimentação";"2018-05-01";"2018-05-16"
"ragazzo";"7.92";0;1;0;"01/01/2018";"3ª semana";"28/01/2018";"alimentação";"2018-01-01";"2018-01-28"
"ragazzo";"3.96";0;1;0;"01/08/2018";"1ª semana";"09/08/2018";"alimentação";"2018-08-01";"2018-08-09"
"ragazzo";"82.82";0;1;0;"01/10/2018";"1ª semana";"15/10/2018";"alimentação";"2018-10-01";"2018-10-15"
"queijo";"25.33";0;1;0;"01/02/2018";"3ª semana";"14/02/2018";"alimentação";"2018-02-01";"2018-02-14"
"queijo";"27.72";0;1;0;"01/02/2018";"4ª semana";"28/02/2018";"alimentação";"2018-02-01";"2018-02-28"
"pulseira evangelismo";10;0;1;0;"01/04/2018";"1ª semana";"04/04/2018";"compras";"2018-04-01";"2018-04-04"
"promofarma";"19.99";0;1;0;"01/02/2018";"4ª semana";"22/02/2018";"farmacia";"2018-02-01";"2018-02-22"
"promofarma";"169.22";0;1;0;"01/10/2018";"1ª semana";"17/10/2018";"farmacia";"2018-10-01";"2018-10-17"
"promobom";50;0;1;0;"01/02/2018";"4ª semana";"28/02/2018";"farmacia";"2018-02-01";"2018-02-28"
"promo farma";"51.06";0;1;0;"01/08/2018";"2ª semana";"13/08/2018";"farmacia";"2018-08-01";"2018-08-13"
"procopias";"5.1";0;1;0;"01/11/2018";"1ª semana";"05/11/2018";"compras";"2018-11-01";"2018-11-05"
"procopias";"0.3";0;1;0;"01/11/2018";"1ª semana";"08/11/2018";"compras";"2018-11-01";"2018-11-08"
"presente";65;0;1;0;"01/12/2018";"1ª semana";"24/12/2018";"compras";"2018-12-01";"2018-12-24"
"posto gasolina";"87.98";0;1;0;"01/12/2018";"1ª semana";"16/12/2018";"carro";"2018-12-01";"2018-12-16"
"portoseguro";"33.38";1;0;0;"01/01/2018";"1ª semana";"18/01/2018";"cartão credito";"2018-01-01";"2018-01-18"
"portoseguro";"208.46";1;0;0;"01/02/2018";"1ª semana";"28/02/2018";"cartão credito";"2018-02-01";"2018-02-28"
"portoseguro";"937.16";1;0;0;"01/03/2018";"1ª semana";"29/03/2018";"cartão credito";"2018-03-01";"2018-03-29"
"portoseguro";"1297.42";1;0;0;"01/04/2018";"2ª semana";"09/04/2018";"cartão credito";"2018-04-01";"2018-04-09"
"portoseguro";"773.46";1;0;0;"01/05/2018";"1ª semana";"01/06/2018";"cartão credito";"2018-05-01";"2018-06-01"
"portoseguro";"1360.65";1;0;0;"01/06/2018";"1ª semana";"14/06/2018";"cartão credito";"2018-06-01";"2018-06-14"
"portoseguro";"374.14";1;0;0;"01/07/2018";"3ª semana";"17/07/2018";"cartão credito";"2018-07-01";"2018-07-17"
"portoseguro";"1619.18";1;0;0;"01/08/2018";"1ª semana";"29/08/2018";"cartão credito";"2018-08-01";"2018-08-29"
"portoseguro";"266.04";1;0;0;"01/10/2018";"1ª semana";"02/10/2018";"cartão credito";"2018-10-01";"2018-10-02"
