"custo";"valor_custo";"custo fixo";"custo variavel";"pendente";"data pagto";"semana";"data pagamento";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"cartão de credito";"1781.37";1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"cartão credito";"2015-01-01";"2015-01-10"
"parcela 2/3 - renner";"235.19";1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"divida";"2015-01-01";"2015-01-10"
"UNICEF";50;1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"doação";"2015-01-01";"2015-01-10"
"TAXA CONTA JURIDICA";"51.9";1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"banco";"2015-01-01";"2015-01-10"
"condominio";"347.65";1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"moradia";"2015-01-01";"2015-01-10"
"net";"266.39";1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"moradia";"2015-01-01";"2015-01-10"
"condominio acordo";450;1;0;0;"10/01/2015";"fim de semana";"10/01/2015";"moradia";"2015-01-01";"2015-01-10"
"shampoo";"47.41";0;1;0;"10/01/2015";"fim de semana";"10/01/2015";"compras";"2015-01-01";"2015-01-10"
"advogada";0;1;0;1;"10/01/2015";"fim de semana";"10/01/2015";"compras";"2015-01-01";"2015-01-10"
"benção";40;0;1;0;"10/01/2015";"fim de semana";"11/01/2015";"compras";"2015-01-01";"2015-01-11"
"SEGURO CARTÃO";"4.99";1;0;0;"10/01/2015";"1ª semana";"12/01/2015";"banco";"2015-01-01";"2015-01-12"
"SEGURO RESIDENCIA";"40.78";1;0;0;"10/01/2015";"1ª semana";"12/01/2015";"banco";"2015-01-01";"2015-01-12"
"emprestimo1";"501.76";1;0;0;"10/01/2015";"1ª semana";"12/01/2015";"banco";"2015-01-01";"2015-01-12"
"emprestimo2";"38.5";1;0;0;"10/01/2015";"1ª semana";"12/01/2015";"banco";"2015-01-01";"2015-01-12"
"emprestimo3";"282.25";1;0;0;"10/01/2015";"1ª semana";"12/01/2015";"banco";"2015-01-01";"2015-01-12"
"almoço";"20.9";0;1;0;"10/01/2015";"1ª semana";"12/01/2015";"alimentação";"2015-01-01";"2015-01-12"
"luz";"56.08";1;0;0;"10/01/2015";"1ª semana";"13/01/2015";"moradia";"2015-01-01";"2015-01-13"
"contador";120;1;0;0;"10/01/2015";"1ª semana";"13/01/2015";"contador";"2015-01-01";"2015-01-13"
"iss - boleto - 2%";142;1;0;0;"10/01/2015";"1ª semana";"13/01/2015";"imposto";"2015-01-01";"2015-01-13"
"csll tri - boleto - 1";88;"133.48";1;0;"10/01/2015";"1ª semana";"13/01/2015";"imposto";"2015-01-01";"2015-01-13"
"irpj - boleto - 0";90;"63.9";1;0;"10/01/2015";"1ª semana";"13/01/2015";"imposto";"2015-01-01";"2015-01-13"
"pão manhã";"9.89";0;1;0;"10/01/2015";"1ª semana";"13/01/2015";"padaria";"2015-01-01";"2015-01-13"
"sptransp";200;1;0;0;"10/01/2015";"1ª semana";"13/01/2015";"transporte";"2015-01-01";"2015-01-13"
"gasolina";30;1;0;0;"10/01/2015";"1ª semana";"13/01/2015";"carro";"2015-01-01";"2015-01-13"
"sorvete - shopping noite";15;0;1;0;"10/01/2015";"1ª semana";"13/01/2015";"alimentação";"2015-01-01";"2015-01-13"
"consorcio";"542.1";1;0;0;"10/01/2015";"1ª semana";"15/01/2015";"investimento";"2015-01-01";"2015-01-15"
"almoço";"24.7";0;1;0;"10/01/2015";"1ª semana";"15/01/2015";"alimentação";"2015-01-01";"2015-01-15"
"sorvete - após almoço";6;0;1;0;"10/01/2015";"1ª semana";"16/01/2015";"alimentação";"2015-01-01";"2015-01-16"
"conserto janela do carro";75;0;1;0;"10/01/2015";"fim de semana";"17/01/2015";"carro";"2015-01-01";"2015-01-17"
"cabelereiro";15;0;1;0;"10/01/2015";"fim de semana";"17/01/2015";"compras";"2015-01-01";"2015-01-17"
"lanche";19;0;1;0;"10/01/2015";"fim de semana";"17/01/2015";"alimentação";"2015-01-01";"2015-01-17"
"farmacia";"14.31";0;1;0;"10/01/2015";"2ª semana";"22/01/2015";"farmacia";"2015-01-01";"2015-01-22"
"lanche - tapioca saida bit";5;0;1;0;"10/01/2015";"2ª semana";"22/01/2015";"alimentação";"2015-01-01";"2015-01-22"
"lanche - metro saida bit";8;0;1;0;"10/01/2015";"2ª semana";"22/01/2015";"alimentação";"2015-01-01";"2015-01-22"
"frutas - entrada bit";3;0;1;0;"10/01/2015";"2ª semana";"22/01/2015";"alimentação";"2015-01-01";"2015-01-22"
"tapioca - saida bit";5;0;1;0;"10/01/2015";"2ª semana";"23/01/2015";"alimentação";"2015-01-01";"2015-01-23"
"jantar - shopping interlagos";26;0;1;0;"10/01/2015";"2ª semana";"23/01/2015";"compras";"2015-01-01";"2015-01-23"
"açai - shopping interlagos";15;0;1;0;"10/01/2015";"2ª semana";"23/01/2015";"alimentação";"2015-01-01";"2015-01-23"
"michelle";100;0;1;0;"10/01/2015";"2ª semana";"23/01/2015";"compras";"2015-01-01";"2015-01-23"
"confraternizacao bit";10;0;1;0;"10/01/2015";"3ª semana";"27/01/2015";"compras";"2015-01-01";"2015-01-27"
"café da manhã";6;0;1;0;"10/01/2015";"3ª semana";"28/01/2015";"alimentação";"2015-01-01";"2015-01-28"
"sorvete - mercado bit";7;0;1;0;"10/01/2015";"3ª semana";"30/01/2015";"alimentação";"2015-01-01";"2015-01-30"
"estacionamento bit";15;0;1;0;"10/01/2015";"3ª semana";"30/01/2015";"carro";"2015-01-01";"2015-01-30"
"saque";45;0;1;0;"10/01/2015";"3ª semana";"30/01/2015";"compras";"2015-01-01";"2015-01-30"
