"custo";"valor_custo";"custo fixo";"custo variavel";"pendente";"data pagto";"semana";"data pagamento";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"parcela 3/3 - renner";"225.7";1;0;0;"10/01/2015";"fim de semana";"01/02/2015";"divida";"2015-01-01";"2015-02-01"
"diferença";0;0;1;0;"10/01/2015";"fim de semana";"01/02/2015";"divergente";"2015-01-01";"2015-02-01"
"mercado";"81.88";0;1;0;"10/01/2015";"fim de semana";"02/02/2015";"mercado";"2015-01-01";"2015-02-02"
"vitamina";10;0;1;0;"10/01/2015";"4ª semana";"02/02/2015";"alimentação";"2015-01-01";"2015-02-02"
"almoço";"15.12";0;1;0;"10/01/2015";"4ª semana";"03/02/2015";"alimentação";"2015-01-01";"2015-02-03"
"café da manhã";3;0;1;0;"10/01/2015";"4ª semana";"03/02/2015";"alimentação";"2015-01-01";"2015-02-03"
"TAXA CONTA FISICA";41;1;0;0;"10/01/2015";"4ª semana";"04/02/2015";"banco";"2015-01-01";"2015-02-04"
"mercado";"15.32";0;1;0;"10/01/2015";"4ª semana";"04/02/2015";"mercado";"2015-01-01";"2015-02-04"
"gasolina";30;1;0;0;"10/01/2015";"4ª semana";"04/02/2015";"carro";"2015-01-01";"2015-02-04"
"saque";40;0;1;0;"10/01/2015";"4ª semana";"04/02/2015";"saque";"2015-01-01";"2015-02-04"
"sptransp";50;1;0;0;"10/01/2015";"4ª semana";"05/02/2015";"transporte";"2015-01-01";"2015-02-05"
"almoço";"16.2";0;1;0;"10/01/2015";"4ª semana";"05/02/2015";"alimentação";"2015-01-01";"2015-02-05"
"saque - viagem";250;0;1;0;"10/01/2015";"4ª semana";"06/02/2015";"saque";"2015-01-01";"2015-02-06"
"estacionamento tatuape";6;0;1;0;"10/01/2015";"4ª semana";"06/02/2015";"carro";"2015-01-01";"2015-02-06"
"vite a sec";113;0;1;0;"10/01/2015";"4ª semana";"06/02/2015";"compras";"2015-01-01";"2015-02-06"
"café viagem";"14.5";0;1;0;"10/01/2015";"4ª semana";"06/02/2015";"alimentação";"2015-01-01";"2015-02-06"
"gasolina";"70.19";1;0;0;"10/01/2015";"fim de semana";"08/02/2015";"carro";"2015-01-01";"2015-02-08"
"gasolina";"76.01";1;0;0;"10/01/2015";"fim de semana";"08/02/2015";"carro";"2015-01-01";"2015-02-08"
"almoço";"11.79";0;1;0;"10/01/2015";"5ª semana";"09/02/2015";"alimentação";"2015-01-01";"2015-02-09"
"gasolina";30;1;0;0;"10/01/2015";"5ª semana";"09/02/2015";"carro";"2015-01-01";"2015-02-09"
"SEGURO CARTÃO";"4.99";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"UNICEF";50;1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"doação";"2015-02-01";"2015-02-10"
"TAXA CONTA JURIDICA";57;1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"SEGURO RESIDENCIA";"40.78";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"condominio";426;1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"moradia";"2015-02-01";"2015-02-10"
"luz";"66.63";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"moradia";"2015-02-01";"2015-02-10"
"net";"286.99";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"moradia";"2015-02-01";"2015-02-10"
"condominio acordo";450;1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"moradia";"2015-02-01";"2015-02-10"
"emprestimo1";"501.76";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"emprestimo2";"38.5";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"emprestimo3";"282.25";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"banco";"2015-02-01";"2015-02-10"
"consorcio";"536.46";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"investimento";"2015-02-01";"2015-02-10"
"contador";130;1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"contador";"2015-02-01";"2015-02-10"
"iss - boleto - 2%";"148.01";1;0;0;"10/02/2015";"1ª semana";"10/02/2015";"imposto";"2015-02-01";"2015-02-10"
"csll tri - boleto - 1";88;"139.13";1;0;"10/02/2015";"1ª semana";"10/02/2015";"imposto";"2015-02-01";"2015-02-10"
"irpj - boleto - 0";90;"66.61";1;0;"10/02/2015";"1ª semana";"10/02/2015";"imposto";"2015-02-01";"2015-02-10"
"almoço aniversario";128;0;1;0;"10/02/2015";"1ª semana";"10/02/2015";"alimentação";"2015-02-01";"2015-02-10"
"almoço";"21.5";0;1;0;"10/02/2015";"1ª semana";"11/02/2015";"alimentação";"2015-02-01";"2015-02-11"
"sptransp";100;1;0;0;"10/02/2015";"1ª semana";"12/02/2015";"transporte";"2015-02-01";"2015-02-12"
"almoço";"10.67";0;1;0;"10/02/2015";"1ª semana";"12/02/2015";"alimentação";"2015-02-01";"2015-02-12"
"socio torcedor";30;0;1;0;"10/02/2015";"1ª semana";"12/02/2015";"compras";"2015-02-01";"2015-02-12"
"bolo/lanche/pão";"89.18";0;1;0;"10/02/2015";"1ª semana";"13/02/2015";"alimentação";"2015-02-01";"2015-02-13"
"almoço";"18.92";0;1;0;"10/02/2015";"1ª semana";"13/02/2015";"alimentação";"2015-02-01";"2015-02-13"
"gasolina";30;1;0;0;"10/02/2015";"1ª semana";"13/02/2015";"carro";"2015-02-01";"2015-02-13"
"suco bagaço - tatuape";"13.9";0;1;0;"10/02/2015";"1ª semana";"13/02/2015";"alimentação";"2015-02-01";"2015-02-13"
"gasolina";30;1;0;0;"10/02/2015";"fim de semana";"14/02/2015";"carro";"2015-02-01";"2015-02-14"
"gasolina";30;1;0;0;"10/02/2015";"fim de semana";"14/02/2015";"carro";"2015-02-01";"2015-02-14"
"almoço - michelle";20;0;1;0;"10/02/2015";"fim de semana";"14/02/2015";"alimentação";"2015-02-01";"2015-02-14"
"almoço";"14.9";0;1;0;"10/02/2015";"fim de semana";"14/02/2015";"alimentação";"2015-02-01";"2015-02-14"
"almoço";"21.8";0;1;0;"10/02/2015";"fim de semana";"14/02/2015";"alimentação";"2015-02-01";"2015-02-14"
"mercado car - peças";81;0;1;0;"10/02/2015";"fim de semana";"15/02/2015";"carro";"2015-02-01";"2015-02-15"
"pao/frios";"75.14";0;1;0;"10/02/2015";"fim de semana";"15/02/2015";"padaria";"2015-02-01";"2015-02-15"
"gasolina";30;1;0;0;"10/02/2015";"2ª semana";"16/02/2015";"carro";"2015-02-01";"2015-02-16"
"cartão de credito";670;1;0;0;"10/02/2015";"2ª semana";"17/02/2015";"cartão credito";"2015-02-01";"2015-02-17"
"gasolina";30;1;0;0;"10/02/2015";"2ª semana";"17/02/2015";"carro";"2015-02-01";"2015-02-17"
"mercado legumes";10;0;1;0;"10/02/2015";"2ª semana";"17/02/2015";"alimentação";"2015-02-01";"2015-02-17"
"saque";34;0;1;0;"10/02/2015";"2ª semana";"18/02/2015";"saque";"2015-02-01";"2015-02-18"
"saque";40;0;1;0;"10/02/2015";"2ª semana";"18/02/2015";"saque";"2015-02-01";"2015-02-18"
"almoço";"21.3";0;1;0;"10/02/2015";"2ª semana";"19/02/2015";"alimentação";"2015-02-01";"2015-02-19"
"café da tarde";6;0;1;0;"10/02/2015";"2ª semana";"19/02/2015";"alimentação";"2015-02-01";"2015-02-19"
"pão/queijo/presunto";"19.74";0;1;0;"10/02/2015";"2ª semana";"20/02/2015";"padaria";"2015-02-01";"2015-02-20"
"gasolina";30;1;0;0;"10/02/2015";"2ª semana";"20/02/2015";"carro";"2015-02-01";"2015-02-20"
"almoço";22;0;1;0;"10/02/2015";"2ª semana";"20/02/2015";"alimentação";"2015-02-01";"2015-02-20"
"celular";18;0;1;0;"10/02/2015";"2ª semana";"20/02/2015";"celular";"2015-02-01";"2015-02-20"
"café da manha";"21.4";0;1;0;"10/02/2015";"fim de semana";"21/02/2015";"alimentação";"2015-02-01";"2015-02-21"
"caldo de cana";10;0;1;0;"10/02/2015";"fim de semana";"21/02/2015";"alimentação";"2015-02-01";"2015-02-21"
"saque";20;0;1;0;"10/02/2015";"fim de semana";"21/02/2015";"saque";"2015-02-01";"2015-02-21"
"gasolina";30;1;0;0;"10/02/2015";"fim de semana";"22/02/2015";"carro";"2015-02-01";"2015-02-22"
"oleo para carro";"55.5";0;1;0;"10/02/2015";"fim de semana";"22/02/2015";"carro";"2015-02-01";"2015-02-22"
"doce";12;0;1;0;"10/02/2015";"3ª semana";"23/02/2015";"alimentação";"2015-02-01";"2015-02-23"
"café/agua";5;0;1;0;"10/02/2015";"3ª semana";"24/02/2015";"alimentação";"2015-02-01";"2015-02-24"
"almoço";"20.13";0;1;0;"10/02/2015";"3ª semana";"24/02/2015";"alimentação";"2015-02-01";"2015-02-24"
"almoço";"29.58";0;1;0;"10/02/2015";"3ª semana";"25/02/2015";"alimentação";"2015-02-01";"2015-02-25"
"almoço";"24.9";0;1;0;"10/02/2015";"3ª semana";"26/02/2015";"alimentação";"2015-02-01";"2015-02-26"
"pizzaria - jantar";"88.02";0;1;0;"10/02/2015";"3ª semana";"26/02/2015";"alimentação";"2015-02-01";"2015-02-26"
"gasolina";30;1;0;0;"10/02/2015";"3ª semana";"26/02/2015";"carro";"2015-02-01";"2015-02-26"
"almoço";"43.45";0;1;0;"10/02/2015";"3ª semana";"27/02/2015";"alimentação";"2015-02-01";"2015-02-27"
"milkshake - shopping";7;0;1;0;"10/02/2015";"3ª semana";"27/02/2015";"alimentação";"2015-02-01";"2015-02-27"
"sptransp";100;1;0;0;"10/02/2015";"3ª semana";"27/02/2015";"transporte";"2015-02-01";"2015-02-27"
"milkshake - shopping";"6.5";0;1;0;"10/02/2015";"3ª semana";"27/02/2015";"alimentação";"2015-02-01";"2015-02-27"
"almoço - sabado";92;0;1;0;"10/02/2015";"fim de semana";"28/02/2015";"alimentação";"2015-02-01";"2015-02-28"
"gasolina";30;1;0;0;"10/02/2015";"fim de semana";"28/02/2015";"carro";"2015-02-01";"2015-02-28"
"almoço";18;0;1;0;"10/02/2015";"4ª semana";"02/03/2015";"alimentação";"2015-02-01";"2015-03-02"
"mercado - padaria";"21.7";0;1;0;"10/02/2015";"4ª semana";"02/03/2015";"padaria";"2015-02-01";"2015-03-02"
"almoço";"21.9";0;1;0;"10/02/2015";"4ª semana";"03/03/2015";"alimentação";"2015-02-01";"2015-03-03"
"lanche - mc donalds";"13.5";0;1;0;"10/02/2015";"4ª semana";"03/03/2015";"alimentação";"2015-02-01";"2015-03-03"
"TAXA CONTA FISICA";45;1;0;0;"10/02/2015";"4ª semana";"04/03/2015";"banco";"2015-02-01";"2015-03-04"
"almoço";19;0;1;0;"10/02/2015";"4ª semana";"04/03/2015";"alimentação";"2015-02-01";"2015-03-04"
"mercado - jantar";"39.52";0;1;0;"10/02/2015";"4ª semana";"04/03/2015";"mercado";"2015-02-01";"2015-03-04"
"agua";"2.5";0;1;0;"10/02/2015";"4ª semana";"04/03/2015";"alimentação";"2015-02-01";"2015-03-04"
"sorvete";9;0;1;0;"10/02/2015";"4ª semana";"04/03/2015";"alimentação";"2015-02-01";"2015-03-04"
"farmacia";"26.38";0;1;0;"10/02/2015";"4ª semana";"05/03/2015";"farmacia";"2015-02-01";"2015-03-05"
"almoço";"16.61";0;1;0;"10/02/2015";"4ª semana";"05/03/2015";"alimentação";"2015-02-01";"2015-03-05"
"almoço";"22.5";0;1;0;"10/02/2015";"4ª semana";"06/03/2015";"alimentação";"2015-02-01";"2015-03-06"
"agua";"3.9";0;1;0;"10/02/2015";"4ª semana";"06/03/2015";"alimentação";"2015-02-01";"2015-03-06"
"fita kilometrica";"7.9";0;1;0;"10/02/2015";"fim de semana";"07/03/2015";"compras";"2015-02-01";"2015-03-07"
"chocolate";"5.98";0;1;0;"10/02/2015";"fim de semana";"07/03/2015";"alimentação";"2015-02-01";"2015-03-07"
"agua mercado";"15.12";0;1;0;"10/02/2015";"fim de semana";"07/03/2015";"mercado";"2015-02-01";"2015-03-07"
"saque";25;0;1;0;"10/02/2015";"fim de semana";"07/03/2015";"saque";"2015-02-01";"2015-03-07"
"cabelereiro";15;0;1;0;"10/02/2015";"fim de semana";"07/03/2015";"compras";"2015-02-01";"2015-03-07"
"diferença";0;0;1;0;"10/02/2015";"fim de semana";"08/03/2015";"divergente";"2015-02-01";"2015-03-08"
"pão / leite";"22.07";0;1;0;"10/02/2015";"fim de semana";"08/03/2015";"padaria";"2015-02-01";"2015-03-08"
"celular";35;0;1;0;"10/02/2015";"fim de semana";"08/03/2015";"celular";"2015-02-01";"2015-03-08"
"SEGURO CARTÃO";"4.99";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"UNICEF";50;1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"doação";"2015-03-01";"2015-03-10"
"TAXA CONTA JURIDICA";57;1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"SEGURO RESIDENCIA";"40.78";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"condominio";"155.55";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"moradia";"2015-03-01";"2015-03-10"
"luz";0;1;0;1;"10/03/2015";"1ª semana";"10/03/2015";"moradia";"2015-03-01";"2015-03-10"
"net";"242.39";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"moradia";"2015-03-01";"2015-03-10"
"condominio acordo";0;1;0;1;"10/03/2015";"1ª semana";"10/03/2015";"moradia";"2015-03-01";"2015-03-10"
"emprestimo1";"501.76";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"emprestimo2";"38.5";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"emprestimo3";"282.25";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"banco";"2015-03-01";"2015-03-10"
"consorcio";"536.46";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"investimento";"2015-03-01";"2015-03-10"
"contador";"168.6";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"contador";"2015-03-01";"2015-03-10"
"iss - boleto - 2%";"148.01";1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"imposto";"2015-03-01";"2015-03-10"
"csll tri - boleto - 1";88;"139.13";1;0;"10/03/2015";"1ª semana";"10/03/2015";"imposto";"2015-03-01";"2015-03-10"
"irpj - boleto - 0";90;"66.61";1;0;"10/03/2015";"1ª semana";"10/03/2015";"imposto";"2015-03-01";"2015-03-10"
"sptransp";100;1;0;0;"10/03/2015";"1ª semana";"10/03/2015";"transporte";"2015-03-01";"2015-03-10"
"custo total aluguel";0;1;0;1;"10/03/2015";"1ª semana";"10/03/2015";"moradia";"2015-03-01";"2015-03-10"
"agua / chocolate";10;0;1;0;"10/03/2015";"1ª semana";"10/03/2015";"alimentação";"2015-03-01";"2015-03-10"
"almoço";"15.46";0;1;0;"10/03/2015";"1ª semana";"10/03/2015";"alimentação";"2015-03-01";"2015-03-10"
"agua";3;0;1;0;"10/03/2015";"1ª semana";"10/03/2015";"alimentação";"2015-03-01";"2015-03-10"
"bolacha";"5.54";0;1;0;"10/03/2015";"1ª semana";"11/03/2015";"alimentação";"2015-03-01";"2015-03-11"
"cartorio";"33.3";0;1;0;"10/03/2015";"1ª semana";"11/03/2015";"cartorio";"2015-03-01";"2015-03-11"
"almoço";"15.32";0;1;0;"10/03/2015";"1ª semana";"12/03/2015";"alimentação";"2015-03-01";"2015-03-12"
"tapioca - saida bit";10;0;1;0;"10/03/2015";"1ª semana";"12/03/2015";"alimentação";"2015-03-01";"2015-03-12"
"café da manha";2;0;1;0;"10/03/2015";"1ª semana";"12/03/2015";"alimentação";"2015-03-01";"2015-03-12"
"agua";3;0;1;0;"10/03/2015";"1ª semana";"12/03/2015";"alimentação";"2015-03-01";"2015-03-12"
"pao de queijo";7;0;1;0;"10/03/2015";"1ª semana";"12/03/2015";"alimentação";"2015-03-01";"2015-03-12"
"café da manha";7;0;1;0;"10/03/2015";"1ª semana";"13/03/2015";"alimentação";"2015-03-01";"2015-03-13"
"almoço";"21.75";0;1;0;"10/03/2015";"1ª semana";"13/03/2015";"alimentação";"2015-03-01";"2015-03-13"
"socio torcedor";30;0;1;0;"10/03/2015";"1ª semana";"13/03/2015";"compras";"2015-03-01";"2015-03-13"
"gasolina";50;1;0;0;"10/03/2015";"fim de semana";"14/03/2015";"carro";"2015-03-01";"2015-03-14"
"mercado";"111.22";0;1;0;"10/03/2015";"fim de semana";"14/03/2015";"mercado";"2015-03-01";"2015-03-14"
"makro restaurante";"29.2";0;1;0;"10/03/2015";"fim de semana";"14/03/2015";"alimentação";"2015-03-01";"2015-03-14"
"sanduicheira";"59.9";0;1;0;"10/03/2015";"fim de semana";"14/03/2015";"compras";"2015-03-01";"2015-03-14"
"gasolina";30;1;0;0;"10/03/2015";"fim de semana";"15/03/2015";"carro";"2015-03-01";"2015-03-15"
"gasolina";30;1;0;0;"10/03/2015";"fim de semana";"15/03/2015";"carro";"2015-03-01";"2015-03-15"
"ultragas";50;0;1;0;"10/03/2015";"fim de semana";"15/03/2015";"moradia";"2015-03-01";"2015-03-15"
"mercado";"37.85";0;1;0;"10/03/2015";"2ª semana";"16/03/2015";"mercado";"2015-03-01";"2015-03-16"
"mercado";"4.65";0;1;0;"10/03/2015";"2ª semana";"16/03/2015";"mercado";"2015-03-01";"2015-03-16"
"almoço";17;0;1;0;"10/03/2015";"2ª semana";"16/03/2015";"alimentação";"2015-03-01";"2015-03-16"
"cartão de credito";"1312.45666666667";1;0;0;"10/03/2015";"2ª semana";"17/03/2015";"cartão credito";"2015-03-01";"2015-03-17"
"almoço";"34.78";0;1;0;"10/03/2015";"2ª semana";"17/03/2015";"alimentação";"2015-03-01";"2015-03-17"
"celular credito";18;0;1;0;"10/03/2015";"2ª semana";"17/03/2015";"celular";"2015-03-01";"2015-03-17"
"mercado";"33.89";0;1;0;"10/03/2015";"2ª semana";"19/03/2015";"mercado";"2015-03-01";"2015-03-19"
"sptransp";100;1;0;0;"10/03/2015";"2ª semana";"19/03/2015";"transporte";"2015-03-01";"2015-03-19"
"almoço - pastel kibe";26;0;1;0;"10/03/2015";"2ª semana";"19/03/2015";"alimentação";"2015-03-01";"2015-03-19"
"janta - shopping interlagos";"10.9";0;1;0;"10/03/2015";"2ª semana";"19/03/2015";"compras";"2015-03-01";"2015-03-19"
"almoço";"9.97";0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"alimentação";"2015-03-01";"2015-03-20"
"agua / sorvete";"8.5";0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"alimentação";"2015-03-01";"2015-03-20"
"habibs - jantar";"43.95";0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"alimentação";"2015-03-01";"2015-03-20"
"casa bahia - telefone";"34.9";0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"moradia";"2015-03-01";"2015-03-20"
"gasolina";30;1;0;0;"10/03/2015";"2ª semana";"20/03/2015";"carro";"2015-03-01";"2015-03-20"
"mercado";"31.07";0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"mercado";"2015-03-01";"2015-03-20"
"credito celular";18;0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"celular";"2015-03-01";"2015-03-20"
"chocolate";10;0;1;0;"10/03/2015";"2ª semana";"20/03/2015";"alimentação";"2015-03-01";"2015-03-20"
"ferramenta";40;0;1;0;"10/03/2015";"fim de semana";"21/03/2015";"compras";"2015-03-01";"2015-03-21"
"utensilios casa";53;0;1;0;"10/03/2015";"fim de semana";"21/03/2015";"moradia";"2015-03-01";"2015-03-21"
"mercado";"39.21";0;1;0;"10/03/2015";"fim de semana";"21/03/2015";"mercado";"2015-03-01";"2015-03-21"
"conserto do carro - bezerra 1/3";350;1;0;0;"10/03/2015";"fim de semana";"21/03/2015";"carro";"2015-03-01";"2015-03-21"
"saque";50;0;1;0;"10/03/2015";"fim de semana";"21/03/2015";"saque";"2015-03-01";"2015-03-21"
"padaria";"16.44";0;1;0;"10/03/2015";"fim de semana";"21/03/2015";"padaria";"2015-03-01";"2015-03-21"
"ultrasom morfologico";70;1;0;0;"10/03/2015";"3ª semana";"23/03/2015";"compras";"2015-03-01";"2015-03-23"
"almoço";36;0;1;0;"10/03/2015";"3ª semana";"23/03/2015";"alimentação";"2015-03-01";"2015-03-23"
"almoço";18;0;1;0;"10/03/2015";"3ª semana";"24/03/2015";"alimentação";"2015-03-01";"2015-03-24"
"sucos - shopping";19;0;1;0;"10/03/2015";"3ª semana";"24/03/2015";"alimentação";"2015-03-01";"2015-03-24"
"mercado";"33.38";0;1;0;"10/03/2015";"3ª semana";"24/03/2015";"mercado";"2015-03-01";"2015-03-24"
"almoço";"21.5";0;1;0;"10/03/2015";"3ª semana";"25/03/2015";"alimentação";"2015-03-01";"2015-03-25"
"mercado";"68.15";0;1;0;"10/03/2015";"3ª semana";"25/03/2015";"mercado";"2015-03-01";"2015-03-25"
"almoço";15;0;1;0;"10/03/2015";"3ª semana";"26/03/2015";"alimentação";"2015-03-01";"2015-03-26"
"celular";27;0;1;0;"10/03/2015";"3ª semana";"26/03/2015";"celular";"2015-03-01";"2015-03-26"
"saque";25;0;1;0;"10/03/2015";"3ª semana";"26/03/2015";"saque";"2015-03-01";"2015-03-26"
"seguro";518;1;0;0;"10/03/2015";"3ª semana";"27/03/2015";"moradia";"2015-03-01";"2015-03-27"
"almoço";"19.36";0;1;0;"10/03/2015";"3ª semana";"27/03/2015";"alimentação";"2015-03-01";"2015-03-27"
"mercado";"60.42";0;1;0;"10/03/2015";"3ª semana";"27/03/2015";"mercado";"2015-03-01";"2015-03-27"
"sptransp";100;1;0;0;"10/03/2015";"fim de semana";"28/03/2015";"transporte";"2015-03-01";"2015-03-28"
