"valor_bruto";"valor_desconto";"valor_adiatamento";"valor_desc_adiat";"valor_decimoterceiro";"valor_abono";"valor_s_desconto";"valor_recebido";"dt_mes_base";"dt_recebido";"descricao"
10611;3208,47;4245,03666;7453,50666;0;0;3157,49334;7402,53;"01/01/2019";"01/01/2019";"salario"
10611;3061,73;4245,03666;7306,76666;0;0;3304,23334;7549,27;"01/02/2019";"01/02/2019";"salario"
10611;3198,15;4245,03666;7443,18666;0;0;3167,81334;7412,85;"01/03/2019";"01/03/2019";"salario"
3537;1393,33;0;1393,33;3537;10611;16291,67;16291,67;"01/04/2019";"01/04/2019";"salario"
10611;3158,72;4245,03666;7403,75666;0;0;3207,24334;7452,28;"01/05/2019";"01/05/2019";"salario"
10611;3077,58;4245,03666;7322,61666;0;0;3288,38334;7533,42;"01/06/2019";"01/06/2019";"salario"
10611;3331,19;4245,03666;7576,22666;0;0;3034,77334;7279,81;"01/07/2019";"01/07/2019";"salario"
10611;3246,65;4245,03666;7491,68666;0;0;3119,31334;7364,35;"01/08/2019";"01/08/2019";"salario"
10975;4374,7;4390,6585;8765,3585;0;0;2209,6415;6600,3;"01/09/2019";"01/09/2019";"salario"
10975;0;4390,6585;4390,6585;0;0;6584,3415;10975;"01/10/2019";"01/10/2019";"salario"
10975;0;4390,6585;4390,6585;0;0;6584,3415;10975;"01/11/2019";"01/11/2019";"salario"
10975;0;4390,6585;4390,6585;0;0;6584,3415;10975;"01/12/2019";"01/12/2019";"salario"
