"valor_recebido";"dt_mes_base";"descricao";"dt_recebido"
7100;"01/09/2014";"salario";"10/09/2014"
7100;"01/10/2014";"salario";"10/10/2014"
7100;"01/11/2014";"salario";"10/11/2014"
7100;"01/12/2014";"salario";"10/12/2014"
7400,48;"01/01/2015";"salario";"10/01/2015"
7400,48;"01/02/2015";"salario";"10/02/2015"
7400,48;"01/03/2015";"salario";"10/03/2015"
7400,48;"01/04/2015";"salario";"10/04/2015"
7400,48;"01/05/2015";"salario";"10/05/2015"
7400,48;"01/06/2015";"salario";"10/06/2015"
7400,48;"01/07/2015";"salario";"10/07/2015"
7400,48;"01/08/2015";"salario";"10/08/2015"
7400,48;"01/09/2015";"salario";"10/09/2015"
7400,48;"01/10/2015";"salario";"10/10/2015"
7400,48;"01/11/2015";"salario";"10/11/2015"
7400,48;"01/12/2015";"salario";"10/12/2015"
281;"01/11/2014";"externo";"10/11/2014"
150;"01/12/2014";"externo";"10/12/2014"
1504,54;"01/04/2015";"michelle";"10/04/2015"
900;"01/05/2015";"michelle";"10/05/2015"
16845,18;"01/07/2015";"fgts";"10/07/2015"
1088,78;"01/09/2015";"consorcio porto seg";"06/10/2015"
9;"01/10/2015";"rentabilidade";"12/10/2015"
1;"01/10/2015";"rentabilidade";"10/11/2015"
0,5;"01/11/2015";"rentabilidade";"10/11/2015"
1,54;"01/11/2015";"rentabilidade";"16/11/2015"
0,14;"01/11/2015";"rentabilidade";"09/11/2015"
0,31;"01/11/2015";"rentabilidade";"11/11/2015"
1,97;"01/12/2015";"rentabilidade";"15/12/2015"
