"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"flag_investimento";"data_base";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"gasolina";50;0;1;0;0;"01/05/2019";"10/05/2019";"carro";"2019-05-01";"2019-05-10"
"casa material";228;0;1;0;0;"01/05/2019";"10/05/2019";"compras";"2019-05-01";"2019-05-10"
"feira";100;0;1;0;0;"01/05/2019";"11/05/2019";"feira";"2019-05-01";"2019-05-11"
"saque";40;0;1;0;0;"01/05/2019";"10/05/2019";"saque";"2019-05-01";"2019-05-10"
"material reforma dicico";"19.99";0;1;0;0;"01/05/2019";"10/05/2019";"compras";"2019-05-01";"2019-05-10"
"mercado";"26.45";0;1;0;0;"01/05/2019";"12/05/2019";"mercado";"2019-05-01";"2019-05-12"
"mercado";"151.29";0;1;0;0;"01/05/2019";"12/05/2019";"mercado";"2019-05-01";"2019-05-12"
"gasolina";"203.75";0;1;0;0;"01/05/2019";"12/05/2019";"carro";"2019-05-01";"2019-05-12"
"choclate dia das maes";"64.55";0;1;0;0;"01/05/2019";"12/05/2019";"compras";"2019-05-01";"2019-05-12"
"empada";8;0;1;0;0;"01/05/2019";"13/05/2019";"alimentação";"2019-05-01";"2019-05-13"
"americanas presente";"29.99";0;1;0;0;"01/05/2019";"12/05/2019";"compras";"2019-05-01";"2019-05-12"
"ragazzo";"17.5";0;1;0;0;"01/05/2019";"10/05/2019";"alimentação";"2019-05-01";"2019-05-10"
"almoço dia das maes";"27.5";0;1;0;0;"01/05/2019";"12/05/2019";"alimentação";"2019-05-01";"2019-05-12"
"almoço dia das maes";"111.48";0;1;0;0;"01/05/2019";"12/05/2019";"alimentação";"2019-05-01";"2019-05-12"
"roupa";15;0;1;0;0;"01/05/2019";"11/05/2019";"compras";"2019-05-01";"2019-05-11"
"roupa dia das maes";100;0;1;0;0;"01/05/2019";"11/05/2019";"compras";"2019-05-01";"2019-05-11"
"mercado";"141.32";0;1;0;0;"01/05/2019";"14/05/2019";"mercado";"2019-05-01";"2019-05-14"
"agua";"2.5";0;1;0;0;"01/05/2019";"14/05/2019";"alimentação";"2019-05-01";"2019-05-14"
"mercado";"9.79";0;1;0;0;"01/05/2019";"14/05/2019";"mercado";"2019-05-01";"2019-05-14"
"seguro carro";"187.87";1;0;0;0;"01/05/2019";"15/05/2019";"carro";"2019-05-01";"2019-05-15"
"mudança";70;0;1;0;0;"01/05/2019";"31/05/2019";"compras";"2019-05-01";"2019-05-31"
"bk kids";"383.22";0;1;0;0;"01/05/2019";"15/05/2019";"compras";"2019-05-01";"2019-05-15"
"michelle";100;0;1;0;0;"01/05/2019";"31/05/2019";"compras";"2019-05-01";"2019-05-31"
"pagamento pedreiro";300;0;1;0;0;"01/05/2019";"31/05/2019";"compras";"2019-05-01";"2019-05-31"
"agua";"2.99";0;1;0;0;"01/05/2019";"15/05/2019";"alimentação";"2019-05-01";"2019-05-15"
"casa de esfiha";"5.5";0;1;0;0;"01/05/2019";"16/05/2019";"alimentação";"2019-05-01";"2019-05-16"
"suco";5;0;1;0;0;"01/05/2019";"17/05/2019";"alimentação";"2019-05-01";"2019-05-17"
"pão";"2.94";0;1;0;0;"01/05/2019";"17/05/2019";"padaria";"2019-05-01";"2019-05-17"
"almoço";"17.06";0;1;0;0;"01/05/2019";"18/05/2019";"alimentação";"2019-05-01";"2019-05-18"
"pastel";3;0;1;0;0;"01/05/2019";"18/05/2019";"alimentação";"2019-05-01";"2019-05-18"
"seminario lanche";15;0;1;0;0;"01/05/2019";"18/05/2019";"alimentação";"2019-05-01";"2019-05-18"
"mercado";13;0;1;0;0;"01/05/2019";"19/05/2019";"mercado";"2019-05-01";"2019-05-19"
"casa de esfiha";"15.48";0;1;0;0;"01/05/2019";"19/05/2019";"alimentação";"2019-05-01";"2019-05-19"
"arizona";"20.96";0;1;0;0;"01/05/2019";"19/05/2019";"padaria";"2019-05-01";"2019-05-19"
"academia";68;0;1;0;0;"01/05/2019";"20/05/2019";"compras";"2019-05-01";"2019-05-20"
"mercado";"67.05";0;1;0;0;"01/05/2019";"20/05/2019";"mercado";"2019-05-01";"2019-05-20"
"mercado";"6.9";0;1;0;0;"01/05/2019";"20/05/2019";"mercado";"2019-05-01";"2019-05-20"
"bolo gceu";10;0;1;0;0;"01/05/2019";"20/05/2019";"alimentação";"2019-05-01";"2019-05-20"
"bolacha agua";"8.08";0;1;0;0;"01/05/2019";"21/05/2019";"alimentação";"2019-05-01";"2019-05-21"
"estacionamento";12;0;1;0;0;"01/05/2019";"21/05/2019";"estacionamento";"2019-05-01";"2019-05-21"
"padaria";"28.5";0;1;0;0;"01/05/2019";"22/05/2019";"padaria";"2019-05-01";"2019-05-22"
"mercado";9;0;1;0;0;"01/05/2019";"22/05/2019";"mercado";"2019-05-01";"2019-05-22"
"mercado";"158.98";0;1;0;0;"01/05/2019";"23/05/2019";"mercado";"2019-05-01";"2019-05-23"
"cacau show";14;0;1;0;0;"01/05/2019";"24/05/2019";"alimentação";"2019-05-01";"2019-05-24"
"mc donalds";"14.9";0;1;0;0;"01/05/2019";"24/05/2019";"alimentação";"2019-05-01";"2019-05-24"
"suco";"5.5";0;1;0;0;"01/05/2019";"24/05/2019";"alimentação";"2019-05-01";"2019-05-24"
"pizzaria";93;0;1;0;0;"01/05/2019";"24/05/2019";"alimentação";"2019-05-01";"2019-05-24"
"pastel";12;0;1;0;0;"01/05/2019";"25/05/2019";"alimentação";"2019-05-01";"2019-05-25"
"caldo de cana";12;0;1;0;0;"01/05/2019";"25/05/2019";"alimentação";"2019-05-01";"2019-05-25"
"jorge mercadinho";"16.4";0;1;0;0;"01/05/2019";"25/05/2019";"padaria";"2019-05-01";"2019-05-25"
"gasolina";"89.28";0;1;0;0;"01/05/2019";"25/05/2019";"carro";"2019-05-01";"2019-05-25"
"promofarma leite nan";"39.99";0;1;0;0;"01/05/2019";"26/05/2019";"farmacia";"2019-05-01";"2019-05-26"
"padaria";"19.75";0;1;0;0;"01/05/2019";"26/05/2019";"padaria";"2019-05-01";"2019-05-26"
"almoço";"19.8";0;1;0;0;"01/05/2019";"28/05/2019";"alimentação";"2019-05-01";"2019-05-28"
"arizona niver da mae";"48.33";0;1;0;0;"01/05/2019";"29/05/2019";"padaria";"2019-05-01";"2019-05-29"
"suco";"4.5";0;1;0;0;"01/05/2019";"28/05/2019";"alimentação";"2019-05-01";"2019-05-28"
"agua";"2.99";0;1;0;0;"01/05/2019";"28/05/2019";"alimentação";"2019-05-01";"2019-05-28"
"agua";5;0;1;0;0;"01/05/2019";"28/05/2019";"alimentação";"2019-05-01";"2019-05-28"
"drogasil";"35.89";0;1;0;0;"01/05/2019";"29/05/2019";"farmacia";"2019-05-01";"2019-05-29"
"lanche";12;0;1;0;0;"01/05/2019";"29/05/2019";"alimentação";"2019-05-01";"2019-05-29"
"lilian";"59.3";0;1;0;0;"01/05/2019";"29/05/2019";"compras";"2019-05-01";"2019-05-29"
"benção";50;0;1;0;0;"01/05/2019";"30/05/2019";"igreja";"2019-05-01";"2019-05-30"
"empada café";"9.6";0;1;0;0;"01/05/2019";"30/05/2019";"alimentação";"2019-05-01";"2019-05-30"
"agua";"2.5";0;1;0;0;"01/05/2019";"30/05/2019";"alimentação";"2019-05-01";"2019-05-30"
"varanda";22;0;1;0;0;"01/05/2019";"30/05/2019";"alimentação";"2019-05-01";"2019-05-30"
"saque";20;0;1;0;0;"01/05/2019";"31/05/2019";"saque";"2019-05-01";"2019-05-31"
"agua";"2.99";0;1;0;0;"01/05/2019";"31/05/2019";"alimentação";"2019-05-01";"2019-05-31"
"multa S00092886";0;1;0;1;0;"01/06/2019";;"carro";"2019-06-01";"2019-06-01"
"multa S00050696";0;1;0;1;0;"01/06/2019";;"carro";"2019-06-01";"2019-06-01"
"multa S00049328";0;1;0;1;0;"01/06/2019";;"carro";"2019-06-01";"2019-06-01"
"multa S00049330";0;1;0;1;0;"01/06/2019";;"carro";"2019-06-01";"2019-06-01"
"multa S00050698";0;1;0;1;0;"01/06/2019";;"carro";"2019-06-01";"2019-06-01"
"taxa conta corrente";"76.9";1;0;0;0;"01/06/2019";"04/06/2019";"banco";"2019-06-01";"2019-06-04"
"net";"334.65";1;0;0;0;"01/06/2019";"13/06/2019";"moradia";"2019-06-01";"2019-06-13"
"enel";"2.85";1;0;0;0;"01/06/2019";"13/06/2019";"moradia";"2019-06-01";"2019-06-13"
"cartão de credito";"570.95";0;1;0;0;"01/06/2019";"17/06/2019";"cartão credito";"2019-06-01";"2019-06-17"
"portoseguro";"107.66";1;0;0;0;"01/06/2019";"17/06/2019";"cartão credito";"2019-06-01";"2019-06-17"
"sptransp";330;1;0;0;0;"01/06/2019";"11/06/2019";"transporte";"2019-06-01";"2019-06-11"
"SEGURO CARTÃO";"6.41";1;0;0;0;"01/06/2019";"10/06/2019";"banco";"2019-06-01";"2019-06-10"
"UNICEF";75;1;0;0;0;"01/06/2019";;"doação";"2019-06-01";"2019-06-01"
"seminario mensalidade";230;1;0;0;0;"01/06/2019";"17/06/2019";"seminario";"2019-06-01";"2019-06-17"
"seminario mensalidade";"230.59";1;0;0;0;"01/06/2019";"17/06/2019";"seminario";"2019-06-01";"2019-06-17"
"seguro carro";"187.87";1;0;0;0;"01/06/2019";"21/06/2019";"carro";"2019-06-01";"2019-06-21"
"bk kids";"383.22";0;1;0;0;"01/06/2019";"17/06/2019";"compras";"2019-06-01";"2019-06-17"
"feira";100;0;1;0;0;"01/06/2019";"02/01/1900";"feira";"2019-06-01";"2019-06-01"
"passeio casal";100;0;1;0;0;"01/06/2019";"03/06/2019";"compras";"2019-06-01";"2019-06-03"
"benção";20;0;1;0;0;"01/06/2019";"03/06/2019";"igreja";"2019-06-01";"2019-06-03"
"saque";100;0;1;0;0;"01/06/2019";"03/06/2019";"saque";"2019-06-01";"2019-06-03"
"padaria";"15.82";0;1;0;0;"01/06/2019";"03/06/2019";"padaria";"2019-06-01";"2019-06-03"
"lanche";30;0;1;0;0;"01/06/2019";"03/06/2019";"compras";"2019-06-01";"2019-06-03"
"podologia";40;0;1;0;0;"01/06/2019";"03/06/2019";"compras";"2019-06-01";"2019-06-03"
"shampo bebe";"40.69";0;1;0;0;"01/06/2019";"03/06/2019";"compras";"2019-06-01";"2019-06-03"
"desodorante";"11.91";0;1;0;0;"01/06/2019";"03/06/2019";"compras";"2019-06-01";"2019-06-03"
"agua";3;0;1;0;0;"01/06/2019";"04/06/2019";"alimentação";"2019-06-01";"2019-06-04"
"suco";"4.5";0;1;0;0;"01/06/2019";"04/06/2019";"alimentação";"2019-06-01";"2019-06-04"
"sptransp";50;0;1;0;0;"01/06/2019";"04/06/2019";"transporte";"2019-06-01";"2019-06-04"
"padaria hospital";51;0;1;0;0;"01/06/2019";"05/06/2019";"padaria";"2019-06-01";"2019-06-05"
"padaria hospital";"28.2";0;1;0;0;"01/06/2019";"05/06/2019";"padaria";"2019-06-01";"2019-06-05"
"estacao vivo";"12.7";0;1;0;0;"01/06/2019";"07/06/2019";"alimentação";"2019-06-01";"2019-06-07"
"mercado";"61.97";0;1;0;0;"01/06/2019";"10/06/2019";"mercado";"2019-06-01";"2019-06-10"
"almoço";"79.5";0;1;0;0;"01/06/2019";"10/06/2019";"alimentação";"2019-06-01";"2019-06-10"
"drogaria";"18.5";0;1;0;0;"01/06/2019";"10/06/2019";"farmacia";"2019-06-01";"2019-06-10"
"padaria";"13.9";0;1;0;0;"01/06/2019";"10/06/2019";"padaria";"2019-06-01";"2019-06-10"
"agua";"2.99";0;1;0;0;"01/06/2019";"10/06/2019";"alimentação";"2019-06-01";"2019-06-10"
"café";6;0;1;0;0;"01/06/2019";"10/06/2019";"alimentação";"2019-06-01";"2019-06-10"
"suco";"5.5";0;1;0;0;"01/06/2019";"10/06/2019";"alimentação";"2019-06-01";"2019-06-10"
"mc donald";"13.8";0;1;0;0;"01/06/2019";"11/06/2019";"alimentação";"2019-06-01";"2019-06-11"
"café";"4.5";0;1;0;0;"01/06/2019";"11/06/2019";"alimentação";"2019-06-01";"2019-06-11"
"suco";"4.5";0;1;0;0;"01/06/2019";"11/06/2019";"alimentação";"2019-06-01";"2019-06-11"
"bolacha";9;0;1;0;0;"01/06/2019";"11/06/2019";"alimentação";"2019-06-01";"2019-06-11"
"lanche";5;0;1;0;0;"01/06/2019";"11/06/2019";"alimentação";"2019-06-01";"2019-06-11"
"lanche";5;0;1;0;0;"01/06/2019";"12/06/2019";"alimentação";"2019-06-01";"2019-06-12"
"salgado - mercado";"3.5";0;1;0;0;"01/06/2019";"12/06/2019";"alimentação";"2019-06-01";"2019-06-12"
"café";5;0;1;0;0;"01/06/2019";"12/06/2019";"alimentação";"2019-06-01";"2019-06-12"
"agua";"2.99";0;1;0;0;"01/06/2019";"13/06/2019";"alimentação";"2019-06-01";"2019-06-13"
"café";"11.5";0;1;0;0;"01/06/2019";"13/06/2019";"alimentação";"2019-06-01";"2019-06-13"
"suco";"4.5";0;1;0;0;"01/06/2019";"13/06/2019";"alimentação";"2019-06-01";"2019-06-13"
"feira";100;0;1;0;0;"01/06/2019";"17/06/2019";"feira";"2019-06-01";"2019-06-17"
"mercado";"207.98";0;1;0;0;"01/06/2019";"17/06/2019";"mercado";"2019-06-01";"2019-06-17"
"arizona";"21.18";0;1;0;0;"01/06/2019";"17/06/2019";"padaria";"2019-06-01";"2019-06-17"
"estacionamento";10;0;1;0;0;"01/06/2019";"17/06/2019";"estacionamento";"2019-06-01";"2019-06-17"
"farmacia";"67.72";0;1;0;0;"01/06/2019";"17/06/2019";"farmacia";"2019-06-01";"2019-06-17"
"ragazzo";"29.4";0;1;0;0;"01/06/2019";"17/06/2019";"alimentação";"2019-06-01";"2019-06-17"
"estacao vivo";5;0;1;0;0;"01/06/2019";"19/06/2019";"alimentação";"2019-06-01";"2019-06-19"
"mercadinho";14;0;1;0;0;"01/06/2019";"20/06/2019";"mercado";"2019-06-01";"2019-06-20"
"pastel";30;0;1;0;0;"01/06/2019";"20/06/2019";"alimentação";"2019-06-01";"2019-06-20"
"caldo de cana";16;0;1;0;0;"01/06/2019";"20/06/2019";"alimentação";"2019-06-01";"2019-06-20"
"mercadinho";16;0;1;0;0;"01/06/2019";"21/06/2019";"mercado";"2019-06-01";"2019-06-21"
"mercadinho";5;0;1;0;0;"01/06/2019";"21/06/2019";"mercado";"2019-06-01";"2019-06-21"
"mercadinho";"2.8";0;1;0;0;"01/06/2019";"21/06/2019";"mercado";"2019-06-01";"2019-06-21"
"gasolina";"85.48";0;1;0;0;"01/06/2019";"21/06/2019";"carro";"2019-06-01";"2019-06-21"
"sorvete";"13.8";0;1;0;0;"01/06/2019";"21/06/2019";"alimentação";"2019-06-01";"2019-06-21"
"mercado";"178.39";0;1;0;0;"01/06/2019";"24/06/2019";"mercado";"2019-06-01";"2019-06-24"
"padaria";"4.48";0;1;0;0;"01/06/2019";"24/06/2019";"padaria";"2019-06-01";"2019-06-24"
"almoço";"31.8";0;1;0;0;"01/06/2019";"24/06/2019";"alimentação";"2019-06-01";"2019-06-24"
"bolacha";"11.1";0;1;0;0;"01/06/2019";"24/06/2019";"alimentação";"2019-06-01";"2019-06-24"
"pomada eloah";"26.9";0;1;0;0;"01/06/2019";"24/06/2019";"compras";"2019-06-01";"2019-06-24"
"mercadinho";"2.5";0;1;0;0;"01/06/2019";"24/06/2019";"mercado";"2019-06-01";"2019-06-24"
"mercadinho";4;0;1;0;0;"01/06/2019";"24/06/2019";"mercado";"2019-06-01";"2019-06-24"
"lanche";10;0;1;0;0;"01/06/2019";"24/06/2019";"alimentação";"2019-06-01";"2019-06-24"
"farmacia";"37.03";0;1;0;0;"01/06/2019";"24/06/2019";"farmacia";"2019-06-01";"2019-06-24"
"pizzaria";50;0;1;0;0;"01/06/2019";"24/06/2019";"alimentação";"2019-06-01";"2019-06-24"
"denise viagem mãe";100;0;1;0;0;"01/06/2019";"26/06/2019";"compras";"2019-06-01";"2019-06-26"
"mercado";"59.48";0;1;0;0;"01/06/2019";"26/06/2019";"mercado";"2019-06-01";"2019-06-26"
"lenheira";"123.4";0;1;0;0;"01/06/2019";"26/06/2019";"compras";"2019-06-01";"2019-06-26"
"nextel";40;0;1;0;0;"01/06/2019";"28/06/2019";"compras";"2019-06-01";"2019-06-28"
"nextel";40;0;1;0;0;"01/06/2019";"28/06/2019";"compras";"2019-06-01";"2019-06-28"
"mercadinho";"10.5";0;1;0;0;"01/06/2019";"28/06/2019";"mercado";"2019-06-01";"2019-06-28"
"ipva";0;1;0;1;0;"01/07/2019";;"carro";"2019-07-01";"2019-07-01"
"dpvat";0;1;0;1;0;"01/07/2019";;"carro";"2019-07-01";"2019-07-01"
"licenciamento";0;1;0;1;0;"01/07/2019";;"carro";"2019-07-01";"2019-07-01"
"taxa conta corrente";"76.9";1;0;0;0;"01/07/2019";"02/07/2019";"banco";"2019-07-01";"2019-07-02"
"cartão de credito";"3266.96";0;1;0;0;"01/07/2019";"16/07/2019";"cartão credito";"2019-07-01";"2019-07-16"
"portoseguro";507;1;0;0;0;"01/07/2019";"17/07/2019";"cartão credito";"2019-07-01";"2019-07-17"
"sptransp";330;1;0;0;0;"01/07/2019";"15/07/2019";"transporte";"2019-07-01";"2019-07-15"
"SEGURO CARTÃO";"6.18";1;0;0;0;"01/07/2019";"10/07/2019";"banco";"2019-07-01";"2019-07-10"
"UNICEF";75;1;0;0;0;"01/07/2019";"15/07/2019";"doação";"2019-07-01";"2019-07-15"
"seminario mensalidade";"250.59";1;0;0;0;"01/07/2019";"17/07/2019";"seminario";"2019-07-01";"2019-07-17"
"seguro carro";"187.87";1;0;0;0;"01/07/2019";"17/07/2019";"carro";"2019-07-01";"2019-07-17"
"bk kids";"383.22";0;1;0;0;"01/07/2019";"17/07/2019";"compras";"2019-07-01";"2019-07-17"
"mercadinho";9;0;1;0;0;"01/07/2019";"29/06/2019";"mercado";"2019-07-01";"2019-06-29"
"gasolina";"81.48";0;1;0;0;"01/07/2019";"01/07/2019";"carro";"2019-07-01";"2019-07-01"
"mcdonalds lazer";"2.5";0;1;0;0;"01/07/2019";"01/07/2019";"compras";"2019-07-01";"2019-07-01"
"mcdonalds lazer";"10.9";0;1;0;0;"01/07/2019";"01/07/2019";"compras";"2019-07-01";"2019-07-01"
"mercado";"97.12";0;1;0;0;"01/07/2019";"01/07/2019";"mercado";"2019-07-01";"2019-07-01"
"kid stock";64;0;1;0;0;"01/07/2019";"01/07/2019";"compras";"2019-07-01";"2019-07-01"
"kid brinq";"39.99";0;1;0;0;"01/07/2019";"01/07/2019";"compras";"2019-07-01";"2019-07-01"
"mercadinho";"9.8";0;1;0;0;"01/07/2019";"01/07/2019";"mercado";"2019-07-01";"2019-07-01"
"mercadinho gas";70;0;1;0;0;"01/07/2019";"01/07/2019";"mercado";"2019-07-01";"2019-07-01"
"almoço";30;0;1;0;0;"01/07/2019";"01/07/2019";"alimentação";"2019-07-01";"2019-07-01"
"san paolo";"13.5";0;1;0;0;"01/07/2019";"01/07/2019";"alimentação";"2019-07-01";"2019-07-01"
"agua";"2.99";0;1;0;0;"01/07/2019";"01/07/2019";"alimentação";"2019-07-01";"2019-07-01"
"arizona";"20.29";0;1;0;0;"01/07/2019";"01/07/2019";"alimentação";"2019-07-01";"2019-07-01"
"casa";260;0;1;0;0;"01/07/2019";"02/07/2019";"moradia";"2019-07-01";"2019-07-02"
"benção";60;0;1;0;0;"01/07/2019";"02/07/2019";"igreja";"2019-07-01";"2019-07-02"
"academia";68;0;1;0;0;"01/07/2019";"02/07/2019";"compras";"2019-07-01";"2019-07-02"
"farmacia";"13.29";0;1;0;0;"01/07/2019";"02/07/2019";"farmacia";"2019-07-01";"2019-07-02"
"sorvete";"3.5";0;1;0;0;"01/07/2019";"02/07/2019";"alimentação";"2019-07-01";"2019-07-02"
"desodorante";"14.99";0;1;0;0;"01/07/2019";"03/07/2019";"compras";"2019-07-01";"2019-07-03"
"lanche";10;0;1;0;0;"01/07/2019";"04/07/2019";"alimentação";"2019-07-01";"2019-07-04"
"almoço são camilo";"52.36";0;1;0;0;"01/07/2019";"04/07/2019";"alimentação";"2019-07-01";"2019-07-04"
"lanche";"11.5";0;1;0;0;"01/07/2019";"04/07/2019";"alimentação";"2019-07-01";"2019-07-04"
"lanche";6;0;1;0;0;"01/07/2019";"04/07/2019";"alimentação";"2019-07-01";"2019-07-04"
"mercadinho";"6.6";0;1;0;0;"01/07/2019";"04/07/2019";"mercado";"2019-07-01";"2019-07-04"
"feira peixaria";37;0;1;0;0;"01/07/2019";"04/07/2019";"feira";"2019-07-01";"2019-07-04"
"farmacia remedio";"147.13";0;1;0;0;"01/07/2019";"04/07/2019";"farmacia";"2019-07-01";"2019-07-04"
"lanche";"8.5";0;1;0;0;"01/07/2019";"05/07/2019";"alimentação";"2019-07-01";"2019-07-05"
"lanche";12;0;1;0;0;"01/07/2019";"05/07/2019";"alimentação";"2019-07-01";"2019-07-05"
"lanche";2;0;1;0;0;"01/07/2019";"05/07/2019";"alimentação";"2019-07-01";"2019-07-05"
"agua";3;0;1;0;0;"01/07/2019";"05/07/2019";"alimentação";"2019-07-01";"2019-07-05"
"roupa";"37.5";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"padaria";"7.27";0;1;0;0;"01/07/2019";"08/07/2019";"padaria";"2019-07-01";"2019-07-08"
"padaria";"17.39";0;1;0;0;"01/07/2019";"08/07/2019";"padaria";"2019-07-01";"2019-07-08"
"gasolina";"75.98";0;1;0;0;"01/07/2019";"08/07/2019";"carro";"2019-07-01";"2019-07-08"
"lanche";10;0;1;0;0;"01/07/2019";"08/07/2019";"alimentação";"2019-07-01";"2019-07-08"
"lanche";50;0;1;0;0;"01/07/2019";"08/07/2019";"alimentação";"2019-07-01";"2019-07-08"
"farmacia";"43.9";0;1;0;0;"01/07/2019";"08/07/2019";"farmacia";"2019-07-01";"2019-07-08"
"farmacia";"8.44";0;1;0;0;"01/07/2019";"08/07/2019";"farmacia";"2019-07-01";"2019-07-08"
"roupa";"33.93";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"roupa";45;0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"roupa";"6.4";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"roupa";"25.25";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"roupa";"227.95";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"roupa";"9.65";0;1;0;0;"01/07/2019";"08/07/2019";"compras";"2019-07-01";"2019-07-08"
"almoço";"9.9";0;1;0;0;"01/07/2019";"10/07/2019";"alimentação";"2019-07-01";"2019-07-10"
"agua";"2.99";0;1;0;0;"01/07/2019";"10/07/2019";"alimentação";"2019-07-01";"2019-07-10"
"café";7;0;1;0;0;"01/07/2019";"10/07/2019";"alimentação";"2019-07-01";"2019-07-10"
"lanche";"29.03";0;1;0;0;"01/07/2019";"10/07/2019";"alimentação";"2019-07-01";"2019-07-10"
"lanche";"9.9";0;1;0;0;"01/07/2019";"10/07/2019";"alimentação";"2019-07-01";"2019-07-10"
"feira";50;0;1;0;0;"01/07/2019";"11/07/2019";"feira";"2019-07-01";"2019-07-11"
"suco";"4.5";0;1;0;0;"01/07/2019";"11/07/2019";"alimentação";"2019-07-01";"2019-07-11"
"lanche";13;0;1;0;0;"01/07/2019";"11/07/2019";"alimentação";"2019-07-01";"2019-07-11"
"escova de dente";"63.14";0;1;0;0;"01/07/2019";"11/07/2019";"compras";"2019-07-01";"2019-07-11"
"lanche";8;0;1;0;0;"01/07/2019";"11/07/2019";"alimentação";"2019-07-01";"2019-07-11"
"feria";20;0;1;0;0;"01/07/2019";"11/07/2019";"feira";"2019-07-01";"2019-07-11"
"fone de ouvido";20;0;1;0;0;"01/07/2019";"11/07/2019";"compras";"2019-07-01";"2019-07-11"
"agua";"2.99";0;1;0;0;"01/07/2019";"12/07/2019";"alimentação";"2019-07-01";"2019-07-12"
"meia lupo";"78.5";0;1;0;0;"01/07/2019";"12/07/2019";"compras";"2019-07-01";"2019-07-12"
"mercadinho";"6.7";0;1;0;0;"01/07/2019";"12/07/2019";"mercado";"2019-07-01";"2019-07-12"
"sptransp";66;0;1;0;0;"01/07/2019";"12/07/2019";"transporte";"2019-07-01";"2019-07-12"
"almoço";"48.3";0;1;0;0;"01/07/2019";"12/07/2019";"alimentação";"2019-07-01";"2019-07-12"
"agua";"8.98";0;1;0;0;"01/07/2019";"13/07/2019";"alimentação";"2019-07-01";"2019-07-13"
"almoço";"135.3";0;1;0;0;"01/07/2019";"13/07/2019";"alimentação";"2019-07-01";"2019-07-13"
"gasolina";"178.11";0;1;0;0;"01/07/2019";"13/07/2019";"carro";"2019-07-01";"2019-07-13"
"almoço domingo";35;0;1;0;0;"01/07/2019";"14/01/2019";"alimentação";"2019-07-01";"2019-01-14"
"arizona";"5.51";0;1;0;0;"01/07/2019";"14/04/2019";"padaria";"2019-07-01";"2019-04-14"
"choclate dia das maes";"14.98";0;1;0;0;"01/07/2019";"13/07/2019";"alimentação";"2019-07-01";"2019-07-13"
"mercado";"4.59";0;1;0;0;"01/07/2019";"13/07/2019";"compras";"2019-07-01";"2019-07-13"
"lazer parquinho";53;0;1;0;0;"01/07/2019";"13/07/2019";"compras";"2019-07-01";"2019-07-13"
"burguer king lazer";"58.7";0;1;0;0;"01/07/2019";"13/07/2019";"compras";"2019-07-01";"2019-07-13"
"mcdonalds";"37.9";0;1;0;0;"01/07/2019";"15/07/2019";"alimentação";"2019-07-01";"2019-07-15"
"mercadinho";"25.9";0;1;0;0;"01/07/2019";"15/07/2019";"mercado";"2019-07-01";"2019-07-15"
"suco";"5.5";0;1;0;0;"01/07/2019";"15/07/2019";"alimentação";"2019-07-01";"2019-07-15"
"suco";"4.5";0;1;0;0;"01/07/2019";"15/07/2019";"alimentação";"2019-07-01";"2019-07-15"
"mercado";"222.34";0;1;0;0;"01/07/2019";"16/07/2019";"mercado";"2019-07-01";"2019-07-16"
"mercadinho";4;0;1;0;0;"01/07/2019";"17/07/2019";"mercado";"2019-07-01";"2019-07-17"
"carlos reis";12;0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"comando jov";"7.5";0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"comercio";5;0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"marcos tono";6;0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"taylane";5;0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"telo";21;0;1;0;0;"01/07/2019";"18/07/2019";"alimentação";"2019-07-01";"2019-07-18"
"almoço";32;0;1;0;0;"01/07/2019";"19/07/2019";"alimentação";"2019-07-01";"2019-07-19"
"bolacha";"10.82";0;1;0;0;"01/07/2019";"19/07/2019";"alimentação";"2019-07-01";"2019-07-19"
"café";15;0;1;0;0;"01/07/2019";"19/07/2019";"alimentação";"2019-07-01";"2019-07-19"
"suco";"4.5";0;1;0;0;"01/07/2019";"19/07/2019";"alimentação";"2019-07-01";"2019-07-19"
"café";2;0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
"estacionamento";17;0;1;0;0;"01/07/2019";"22/07/2019";"carro";"2019-07-01";"2019-07-22"
"almoço";"140.25";0;1;0;0;"01/07/2019";"22/07/2019";"alimentação";"2019-07-01";"2019-07-22"
