"tipo_custo";"data_custo";"custo";"info_banco";"valor";"valor_custo";"valor_entrada";"ref_base";"dt_pagto_bq";"dt_custo_bq"
"farmacia";"13/01/2021";"ELECTRONDROGARIA MA";9212;-5,75;5,75;0;01/01/2021;"2021-01-01";"2021-01-13"
"mercado";"13/01/2021";"ELECTRONMINI MERCAD";9212;-36,5;36,5;0;01/01/2021;"2021-01-01";"2021-01-13"
"mercado";"13/01/2021";"ELECTRONPAG*Josisma";9212;-2;2;0;01/01/2021;"2021-01-01";"2021-01-13"
"mercado";"13/01/2021";"ELECTRONTRIMAIS SUP";9212;-70,47;70,47;0;01/01/2021;"2021-01-01";"2021-01-13"
"saldo";"13/01/2021";"SALDO DO DIA";;-2869,83;0;0;01/01/2021;"2021-01-01";"2021-01-13"
"multa";"14/01/2021";"INT IPVA-SP HOH-6396";4175;-971;971;0;01/01/2021;"2021-01-01";"2021-01-14"
"multa";"14/01/2021";"INT MULTA SP 31997756838";4175;-134,5;134,5;0;01/01/2021;"2021-01-01";"2021-01-14"
"saldo";"14/01/2021";"SALDO DO DIA";;-3975,33;0;0;01/01/2021;"2021-01-01";"2021-01-14"
"farmacia";"15/01/2021";"ELECTRONDROGARIA SA";9212;-11,98;11,98;0;01/01/2021;"2021-01-01";"2021-01-15"
"salario";"15/01/2021";"TED 237.2846ANDRE N BARB";;5392;0;5392;01/01/2021;"2021-01-01";"2021-01-15"
"saldo";"15/01/2021";"SDO CTA/APL AUTOMATICAS";;1404,69;0;0;01/01/2021;"2021-01-01";"2021-01-15"
"saque";"18/01/2021";"SAQUE 24H 11770278 17/01";5086;-100;100;0;01/01/2021;"2021-01-01";"2021-01-18"
"farmacia";"18/01/2021";"ELECTRONDROGARIA PR";9212;-57,23;57,23;0;01/01/2021;"2021-01-01";"2021-01-18"
"farmacia";"18/01/2021";"ELECTRONDROGARIA PR";9212;-41,86;41,86;0;01/01/2021;"2021-01-01";"2021-01-18"
"estacionamento";"18/01/2021";"ELECTRONESTAPAR SHO";9212;-13;13;0;01/01/2021;"2021-01-01";"2021-01-18"
"alimentação";"18/01/2021";"ELECTRONFENIX";9212;-69;69;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONLOJAS AMERI";9212;-12,97;12,97;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONLOUCADEMIA";9212;-67;67;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONMARELLAS CA";9212;-6;6;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONMARELLAS CA";9212;-14;14;0;01/01/2021;"2021-01-01";"2021-01-18"
"alimentação";"18/01/2021";"ELECTRONPAG*Frigott";9212;-50;50;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONSHOPPING CE";9212;-40,2;40,2;0;01/01/2021;"2021-01-01";"2021-01-18"
"compras";"18/01/2021";"ELECTRONSONEDA PERF";9212;-79,74;79,74;0;01/01/2021;"2021-01-01";"2021-01-18"
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";9212;-81,21;81,21;0;01/01/2021;"2021-01-01";"2021-01-18"
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";9212;-108,94;108,94;0;01/01/2021;"2021-01-01";"2021-01-18"
"mercado";"18/01/2021";"ELECTRONTRIMAIS SUP";9212;-17,43;17,43;0;01/01/2021;"2021-01-01";"2021-01-18"
"mercado";"18/01/2021";"ELECTRONYINGXUE MA";9212;-12;12;0;01/01/2021;"2021-01-01";"2021-01-18"
"cartão credito";"18/01/2021";"INT ITAUCARD";4175;-7685,86;7685,86;0;01/01/2021;"2021-01-01";"2021-01-18"
"resgate";"18/01/2021";"TBI 9293.22915-0/500";4175;7000;0;7000;01/01/2021;"2021-01-01";"2021-01-18"
"saldo";"18/01/2021";"SALDO DO DIA";;-51,75;0;0;01/01/2021;"2021-01-01";"2021-01-18"
"mercado";"19/01/2021";"ELECTRONTRIMAIS SUP";9212;-35,84;35,84;0;01/01/2021;"2021-01-01";"2021-01-19"
"saldo";"19/01/2021";"SALDO DO DIA";;-87,59;0;0;01/01/2021;"2021-01-01";"2021-01-19"
"mercado";"20/01/2021";"ELECTRONTRIMAIS SUP";9212;-103,39;103,39;0;01/01/2021;"2021-01-01";"2021-01-20"
"saldo";"20/01/2021";"SALDO DO DIA";;-190,98;0;0;01/01/2021;"2021-01-01";"2021-01-20"
"alimentação";"22/01/2021";"ELECTRONBD";9212;-10;10;0;01/01/2021;"2021-01-01";"2021-01-22"
"compras";"22/01/2021";"ELECTRONPERFUMARIA";9212;-31,7;31,7;0;01/01/2021;"2021-01-01";"2021-01-22"
"mercado";"22/01/2021";"ELECTRONTRIMAIS SUP";9212;-170,07;170,07;0;01/01/2021;"2021-01-01";"2021-01-22"
