"dt_mes_base";"dt_recebido";"descricao";"valor_previsto";"valor_recebido"
01/01/2021;15/01/2021;"Salario_1";5392;5392
01/01/2021;30/01/2021;"Salario_2";4304,32;4304,32
01/01/2021;01/01/2021;"saldo";-1233,48;-1233,48
01/01/2021;16/01/2021;"poupança";7000;7000
01/01/2021;26/01/2021;"felipe";200;200
01/01/2021;07/01/2021;"aux creche";422,21;422,21
01/02/2021;15/02/2021;"Salario_1";5392;5392
01/02/2021;15/02/2021;"aux creche";0;0
01/02/2021;28/02/2021;"Salario_2";3926,79;3926,79
01/02/2021;08/02/2021;"TED 237.0001BRADESCO SAU";150;150
01/02/2021;12/02/2021;"TED 237.0001BRADESCO SAU";353;353
01/02/2021;12/02/2021;"PIX TRANSF  EDUARDO06/02";32,86;32,86
01/02/2021;14/02/2021;"PIX QRS CLAUDIO DOU13/02";40;40
01/02/2021;15/02/2021;"TBI 9293.22915-0/500";1000;1000
01/03/2021;15/03/2021;"Salario_1";5392;5392
01/03/2021;31/03/2021;"Salario_2";4000;3624,01
01/03/2021;04/03/2021;"michelle";1000;1000
01/04/2021;15/04/2021;"Salario_1";5392;5392
01/04/2021;15/04/2021;"TED 237.0001BRADESCO SAU";150;150
01/04/2021;30/04/2021;"Salario_2";4000;3943,38
01/04/2021;20/04/2021;"EST ELECMARIA DAS G";33;33
01/04/2021;25/04/2021;"poupança";8000;8000
01/05/2021;15/05/2021;"Salario_1";5391,6;5392
01/05/2021;30/05/2021;"Salario_2";4000;4111,2
01/05/2021;15/05/2021;"poupança";1000;1000
01/06/2021;15/06/2021;"Salario_1";5492;5492
01/06/2021;30/06/2021;"Salario_2 + 13";10950,42;10950,42
01/06/2021;04/06/2021;"PIX TRANSF  Michele04/06";30;30
01/07/2021;01/07/2021;"férias";14600;14600
01/07/2021;08/07/2021;"retirada";1591,52;1591,52
01/07/2021;30/07/2021;"Salario_1";4030,85;4030,85
01/07/2021;17/07/2021;"retirada";8000;8000
01/08/2021;15/08/2021;"Salario_1";5391,6;0
01/08/2021;30/08/2021;"Salario_2";4000;0
01/08/2021;01/08/2021;"previsão";0;0
01/09/2021;15/09/2021;"Salario_1";5391,6;0
01/09/2021;30/09/2021;"Salario_2";4000;0
01/10/2021;15/10/2021;"Salario_1";5391,6;0
01/10/2021;30/10/2021;"Salario_2";4000;0
01/11/2021;15/11/2021;"Salario_1";5391,6;0
01/11/2021;30/11/2021;"Salario_2";4000;0
01/12/2021;15/12/2021;"Salario_1";5391,6;0
01/12/2021;30/12/2021;"Salario_2";4000;0
