"de_para";"valor";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONMARCO ANTON";"compras";
"ELECTRONMARIA LUCIA";"compras";
"ELECTRONPADARIA PAL";"padaria";
"ELECTRONPAG*Antonio";"compras";
"ELECTRONPAG*Rosange";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"INT  PAG TIT BANCO 001";"boleto";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONCHOCO MIX";"alimentação";
"ELECTRONEVANDRO G N";"compras";
"ELECTRONFEIRANTE";"feira";
"ELECTRONLOBO DO REA";"compras";
"ELECTRONPAG*CiceroF";"compras";
"ELECTRONPAG*CleliaA";"compras";
"ELECTRONPAG*DanielF";"compras";
"ELECTRONPAG*Eduardo";"compras";
"ELECTRONPAG*RafaelF";"compras";
"ELECTRONPAG*Verdura";"compras";
"ELECTRONRAIA 133";"farmacia";
"ELECTRONRAVIOLITALI";"alimentação";
"ELECTRONREINALDO DE";"compras";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSTELO*MARIO";"compras";
"SEGURO CARTAO";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE     000554 SAQUE";"saque";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONBELLA ATALI";"padaria";
"ELECTRONSUELICATESS";"compras";
"RES APLIC AUT MAIS";"banco";
"CXE     000331 SAQUE";"saque";
"CXE     001966 SAQUE";"saque";
"ELECTRONVARANDA FRU";"mercado";
"ELECTRONANTONIO SER";"compras";
"ELECTRONRYMA MINI M";"compras";
"ELECTRONSHOKITI";"compras";
"INT  PAG TIT BANCO 237";"boleto";
"ELECTRONANTHONNY CA";"compras";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"INT IPVA-SP HOH-6396";"ipva";
"ELECTRONHORTIFRUTI";"mercado";
"ELECTRONMERCADOPAGO";"mercado";
"ELECTRONPAG*Natalia";"compras";
"ELECTRONPOSTO M G M";"gasolina";
"ELECTRONSARA MARIA";"compras";
"ELECTRONSHOKITI";"compras";
"DEB AUTOR UNICEF";"doação";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONSHOKITI";"compras";
"INT TED  225223 SEMINRI";"seminario";
"RES APLIC AUT MAIS";"banco";
"ELECTRONSHOKITI";"compras";
"INT DOC 260000135246778";"boleto";
"ELECTRONMERCADOPAGO";"mercado";
"ELECTRONSHOKITI";"compras";
"ELECTRONSUA ACADEMI";"academia";
"ELECTRONPAG*VictorM";"compras";
"ELECTRONPAG*WpaperM";"compras";
"ELECTRONPOINT DO SU";"compras";
"ELECTRONPROMO FARMA";"farmacia";
"CXE 000273 SAQUE 22/02";"saque";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONBK SHOPPING";"alimentação";
"ELECTRONCHICO HAMBU";"alimentação";
"ELECTRONFEIRANTE";"feira";
"ELECTRONINDIGO";"compras";
"ELECTRONLEVI DA SIL";"compras";
"ELECTRONLIVORNO EXP";"compras";
"ELECTRONMILLENIUM P";"compras";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONPAG*Familia";"compras";
"ELECTRONPAG*Valdeci";"compras";
"ELECTRONPLAYCENTER";"lazer";
"ELECTRONSHOKITI";"compras";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONSUBWAY ARIC";"alimentação";
"TBI 4833.46062-1/500";"entrada";
"ELECTRONSHOKITI";"compras";
"ELECTRONSHOKITI";"compras";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO FINAL";"saldo";
"SALDO INICIAL";"saldo";
"CXE 000141 SAQUE 29/02";"saque";
"ELECTRONCOM DE FRAN";"compras";
"ELECTRONDEPOSITO DO";"alimentação";
