custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
salgado;13.3;0;1;0;01/09/2016;3ª semana;12/09/2016;alimentação;2016-09-01;2016-09-12
salgado;6;0;1;0;01/09/2016;3ª semana;12/09/2016;alimentação;2016-09-01;2016-09-12
acaraje metro;10;0;1;0;01/06/2016;2ª semana;10/09/2016;alimentação;2016-06-01;2016-09-10
CABELEIREIRO;20;0;1;0;01/09/2016;fim de semana;10/09/2016;pessoal;2016-09-01;2016-09-10
SORVETE;4;0;1;0;01/09/2016;fim de semana;10/09/2016;alimentação;2016-09-01;2016-09-10
ELECTRONCAFE;8;0;1;0;01/09/2016;2ª semana;09/09/2016;alimentação;2016-09-01;2016-09-09
ELECTRONUNIDOS;8;0;1;0;01/09/2016;2ª semana;06/09/2016;alimentação;2016-09-01;2016-09-06
lis/juros;72.11;0;1;0;01/09/2016;2ª semana;05/09/2016;banco;2016-09-01;2016-09-05
CAFÉ;4.18;0;1;0;01/09/2016;2ª semana;05/09/2016;alimentação;2016-09-01;2016-09-05
nakata;9;0;1;0;01/09/2016;2ª semana;05/09/2016;pessoal;2016-09-01;2016-09-05
almoço;8;0;1;0;01/09/2016;2ª semana;05/09/2016;almoço;2016-09-01;2016-09-05
estacionamento;40;0;1;0;01/09/2016;2ª semana;04/09/2016;carro;2016-09-01;2016-09-04
taxa conta corrente;51;1;0;0;01/09/2016;1ª semana;02/09/2016;banco;2016-09-01;2016-09-02
luz;103.22;1;0;0;01/09/2016;1ª semana;02/09/2016;casa;2016-09-01;2016-09-02
cartão de credito;3362.36;1;0;0;01/09/2016;1ª semana;02/09/2016;cartão credito;2016-09-01;2016-09-02
comgas;36.72;1;0;0;01/09/2016;1ª semana;02/09/2016;casa;2016-09-01;2016-09-02
multa sp;68.1;0;1;0;01/09/2016;1ª semana;02/09/2016;carro;2016-09-01;2016-09-02
IOF;5.13;0;1;0;01/09/2016;1ª semana;02/09/2016;banco;2016-09-01;2016-09-02
net;0;1;0;1;01/09/2016;;;casa;2016-09-01;2016-09-01
custo total aluguel;0;1;0;1;01/09/2016;;;casa;2016-09-01;2016-09-01
estacionamento;200;0;1;0;01/09/2016;1ª semana;01/09/2016;carro;2016-09-01;2016-09-01
CAFÉ;8;0;1;0;01/09/2016;1ª semana;01/09/2016;alimentação;2016-09-01;2016-09-01
varanda frutas;9.95;0;1;0;01/09/2016;1ª semana;01/09/2016;alimentação;2016-09-01;2016-09-01
agua;2.99;0;1;0;01/08/2016;4ª semana;31/08/2016;alimentação;2016-08-01;2016-08-31
sorvete metro;6.5;0;1;0;01/08/2016;4ª semana;30/08/2016;alimentação;2016-08-01;2016-08-30
negativo 01/09 cheque especial;1024.28;0;1;0;01/09/2016;4ª semana;30/08/2016;cheque especial;2016-09-01;2016-08-30
lanche;9.4;0;1;0;01/08/2016;4ª semana;29/08/2016;alimentação;2016-08-01;2016-08-29
agua;2.99;0;1;0;01/08/2016;4ª semana;29/08/2016;alimentação;2016-08-01;2016-08-29
divergente;33;0;1;0;01/08/2016;4ª semana;26/08/2016;divergente;2016-08-01;2016-08-26
bolinho chocolate;6.6;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
caldo verde;4;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
agua;2.99;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
café no metro;4.5;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
choclate quente vila olimpia;9;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
suco de laranja;3;0;1;0;01/08/2016;4ª semana;25/08/2016;alimentação;2016-08-01;2016-08-25
lojas americanas;5;0;1;0;01/08/2016;4ª semana;24/08/2016;alimentação;2016-08-01;2016-08-24
bolacha metro;5;0;1;0;01/08/2016;4ª semana;24/08/2016;alimentação;2016-08-01;2016-08-24
café padaria;5;0;1;0;01/08/2016;4ª semana;23/08/2016;alimentação;2016-08-01;2016-08-23
lanche wendys;8;0;1;0;01/08/2016;4ª semana;23/08/2016;alimentação;2016-08-01;2016-08-23
agua;2.99;0;1;0;01/08/2016;4ª semana;22/08/2016;alimentação;2016-08-01;2016-08-22
sptransp;20;0;1;0;01/08/2016;4ª semana;22/08/2016;transporte;2016-08-01;2016-08-22
café;6.5;0;1;0;01/08/2016;4ª semana;22/08/2016;alimentação;2016-08-01;2016-08-22
café wendys;8;0;1;0;01/08/2016;4ª semana;22/08/2016;alimentação;2016-08-01;2016-08-22
bolacha;2.8;0;1;0;01/08/2016;3ª semana;19/08/2016;alimentação;2016-08-01;2016-08-19
café/pao na chapa;6.9;0;1;0;01/08/2016;3ª semana;19/08/2016;alimentação;2016-08-01;2016-08-19
café metro;4.5;0;1;0;01/08/2016;3ª semana;19/08/2016;alimentação;2016-08-01;2016-08-19
desodorante;8.99;0;1;0;01/08/2016;3ª semana;19/08/2016;pessoal;2016-08-01;2016-08-19
bilhete único;63.8;0;1;0;01/08/2016;3ª semana;16/08/2016;transporte;2016-08-01;2016-08-16
agua / bolacha;9;0;1;0;01/08/2016;3ª semana;16/08/2016;alimentação;2016-08-01;2016-08-16
café;3.5;0;1;0;01/08/2016;3ª semana;16/08/2016;alimentação;2016-08-01;2016-08-16
consorcio;610.48;1;0;0;01/08/2016;3ª semana;15/08/2016;investimento;2016-08-01;2016-08-15
UNICEF;50;1;0;0;01/08/2016;3ª semana;15/08/2016;doação;2016-08-01;2016-08-15
parcela celular 1/2;375.34;0;1;0;01/08/2016;1ª semana;15/08/2016;celular;2016-08-01;2016-08-15
suco de laranja;3;0;1;0;01/08/2016;2ª semana;15/08/2016;alimentação;2016-08-01;2016-08-15
salgado;3.8;0;1;0;01/08/2016;3ª semana;15/08/2016;alimentação;2016-08-01;2016-08-15
café;5;0;1;0;01/08/2016;3ª semana;15/08/2016;alimentação;2016-08-01;2016-08-15
burger king sorvete;2.5;0;1;0;01/08/2016;fim de semana;13/08/2016;alimentação;2016-08-01;2016-08-13
lanche ourinhos;25.1;0;1;0;01/08/2016;fim de semana;13/08/2016;alimentação;2016-08-01;2016-08-13
mercado;82.75;0;1;0;01/08/2016;fim de semana;13/08/2016;mercado;2016-08-01;2016-08-13
sorvete / agua;15;0;1;0;01/08/2016;fim de semana;13/08/2016;alimentação;2016-08-01;2016-08-13
caldo verde / acareja;14;0;1;0;01/08/2016;2ª semana;12/08/2016;alimentação;2016-08-01;2016-08-12
café;4;0;1;0;01/08/2016;2ª semana;12/08/2016;alimentação;2016-08-01;2016-08-12
sorvete;3.5;0;1;0;01/08/2016;2ª semana;12/08/2016;alimentação;2016-08-01;2016-08-12
padaria;28.8;0;1;0;01/08/2016;2ª semana;12/08/2016;padaria;2016-08-01;2016-08-12
suco de laranja;6;0;1;0;01/08/2016;2ª semana;11/08/2016;alimentação;2016-08-01;2016-08-11
SEGURO RESIDENCIA;45.2;1;0;0;01/08/2016;2ª semana;10/08/2016;banco;2016-08-01;2016-08-10
SEGURO CARTÃO;5.79;1;0;0;01/08/2016;2ª semana;10/08/2016;banco;2016-08-01;2016-08-10
lanche;12.5;0;1;0;01/08/2016;2ª semana;10/08/2016;alimentação;2016-08-01;2016-08-10
agua;2.99;0;1;0;01/08/2016;2ª semana;10/08/2016;alimentação;2016-08-01;2016-08-10
bolacha;7.6;0;1;0;01/08/2016;2ª semana;10/08/2016;alimentação;2016-08-01;2016-08-10
diferença;30;0;1;0;01/08/2016;2ª semana;10/08/2016;divergente;2016-08-01;2016-08-10
padaria;50.61;0;1;0;01/08/2016;2ª semana;10/08/2016;padaria;2016-08-01;2016-08-10
agua;3.5;0;1;0;01/08/2016;2ª semana;09/08/2016;alimentação;2016-08-01;2016-08-09
café;6.5;0;1;0;01/08/2016;2ª semana;09/08/2016;alimentação;2016-08-01;2016-08-09
sptransp;60;1;0;0;01/08/2016;2ª semana;08/08/2016;transporte;2016-08-01;2016-08-08
feira;50;0;1;0;01/08/2016;fim de semana;08/08/2016;feira;2016-08-01;2016-08-08
padaria;11;0;1;0;01/08/2016;fim de semana;08/08/2016;padaria;2016-08-01;2016-08-08
pamonha;12;0;1;0;01/08/2016;fim de semana;08/08/2016;alimentação;2016-08-01;2016-08-08
espeto vila aurora;27.3;0;1;0;01/08/2016;fim de semana;07/08/2016;alimentação;2016-08-01;2016-08-07
roupa bebe fabio;29.57;0;1;0;01/08/2016;fim de semana;07/08/2016;roupa;2016-08-01;2016-08-07
lis/juros;12.96;0;1;0;01/08/2016;1ª semana;05/08/2016;banco;2016-08-01;2016-08-05
lis/juros;11.46;0;1;0;01/08/2016;1ª semana;05/08/2016;banco;2016-08-01;2016-08-05
sptransp;20;1;0;0;01/08/2016;1ª semana;04/08/2016;transporte;2016-08-01;2016-08-04
estacionamento;200;0;1;0;01/08/2016;1ª semana;04/08/2016;carro;2016-08-01;2016-08-04
lanche;14.8;0;1;0;01/08/2016;1ª semana;04/08/2016;alimentação;2016-08-01;2016-08-04
sorvete;8;0;1;0;01/08/2016;1ª semana;04/08/2016;alimentação;2016-08-01;2016-08-04
cartão de credito;3159.75333333333;1;0;0;01/08/2016;1ª semana;03/08/2016;cartão credito;2016-08-01;2016-08-03
mercado;243.95;0;1;0;01/08/2016;1ª semana;03/08/2016;mercado;2016-08-01;2016-08-03
taxa conta corrente;51;1;0;0;01/08/2016;1ª semana;02/08/2016;banco;2016-08-01;2016-08-02
net;358.53;1;0;0;01/08/2016;1ª semana;01/08/2016;casa;2016-08-01;2016-08-01
custo total aluguel;0;1;0;1;01/08/2016;;;casa;2016-08-01;2016-08-01
luz;100.53;1;0;0;01/08/2016;1ª semana;01/08/2016;casa;2016-08-01;2016-08-01
contador;0;1;0;1;01/08/2016;;;contador;2016-08-01;2016-08-01
comgas;32;1;0;1;01/08/2016;;;casa;2016-08-01;2016-08-01
socio torcedor - sp;0;0;1;1;01/08/2016;;;socio torcedor;2016-08-01;2016-08-01
imposto;2.37;0;1;0;01/08/2016;1ª semana;01/08/2016;banco;2016-08-01;2016-08-01
almoço paranapiacaba;84;0;1;0;01/08/2016;fim de semana;31/07/2016;lazer;2016-08-01;2016-07-31
passeio casal;50;0;1;0;01/08/2016;fim de semana;31/07/2016;lazer;2016-08-01;2016-07-31
café expresso;12;0;1;0;01/08/2016;fim de semana;31/07/2016;lazer;2016-08-01;2016-07-31
diferença;40;0;1;0;01/07/2016;4ª semana;30/07/2016;divergente;2016-07-01;2016-07-30
padaria;35.89;0;1;0;01/08/2016;fim de semana;30/07/2016;padaria;2016-08-01;2016-07-30
mercado;35.99;0;1;0;01/08/2016;fim de semana;30/07/2016;mercado;2016-08-01;2016-07-30
cabelereiro;50;0;1;0;01/08/2016;fim de semana;30/07/2016;pessoal;2016-08-01;2016-07-30
combustivel;161.99;0;1;0;01/08/2016;fim de semana;30/07/2016;carro;2016-08-01;2016-07-30
wendys almoço;35.5;0;1;0;01/07/2016;4ª semana;29/07/2016;almoço;2016-07-01;2016-07-29
wendys almoço;8.5;0;1;0;01/07/2016;4ª semana;29/07/2016;almoço;2016-07-01;2016-07-29
controle remoto;50;0;1;0;01/07/2016;4ª semana;29/07/2016;pessoal;2016-07-01;2016-07-29
passeio casal;70;0;1;0;01/07/2016;4ª semana;28/07/2016;lazer;2016-07-01;2016-07-28
café;11.4;0;1;0;01/07/2016;4ª semana;28/07/2016;alimentação;2016-07-01;2016-07-28
agua;4;0;1;0;01/07/2016;4ª semana;28/07/2016;alimentação;2016-07-01;2016-07-28
bolo;3;0;1;0;01/07/2016;4ª semana;28/07/2016;alimentação;2016-07-01;2016-07-28
agua;6.8;0;1;0;01/07/2016;4ª semana;26/07/2016;alimentação;2016-07-01;2016-07-26
café;5;0;1;0;01/07/2016;4ª semana;26/07/2016;alimentação;2016-07-01;2016-07-26
café;7.5;0;1;0;01/07/2016;4ª semana;26/07/2016;alimentação;2016-07-01;2016-07-26
padaria;33.59;0;1;0;01/07/2016;fim de semana;24/07/2016;padaria;2016-07-01;2016-07-24
costela;35;0;1;0;01/07/2016;fim de semana;24/07/2016;almoço;2016-07-01;2016-07-24
mercado;49.36;0;1;0;01/07/2016;fim de semana;24/07/2016;mercado;2016-07-01;2016-07-24
farmacia;84.13;0;1;0;01/07/2016;fim de semana;24/07/2016;farmacia;2016-07-01;2016-07-24
gasolina;157.8;0;1;0;01/07/2016;3ª semana;22/07/2016;carro;2016-07-01;2016-07-22
padaria;12.31;0;1;0;01/07/2016;3ª semana;21/07/2016;padaria;2016-07-01;2016-07-21
farmacia;9.39;0;1;0;01/07/2016;3ª semana;21/07/2016;farmacia;2016-07-01;2016-07-21
sorvete;7.99;0;1;0;01/07/2016;3ª semana;21/07/2016;alimentação;2016-07-01;2016-07-21
doces;15.19;0;1;0;01/07/2016;3ª semana;21/07/2016;alimentação;2016-07-01;2016-07-21
almoço;15.49;0;1;0;01/07/2016;3ª semana;20/07/2016;almoço;2016-07-01;2016-07-20
panetone;4.9;0;1;0;01/07/2016;3ª semana;20/07/2016;alimentação;2016-07-01;2016-07-20
café;5;0;1;0;01/07/2016;3ª semana;20/07/2016;alimentação;2016-07-01;2016-07-20
credito celular;20;0;1;0;01/07/2016;3ª semana;19/07/2016;celular;2016-07-01;2016-07-19
acessorios celular;65;0;1;0;01/07/2016;3ª semana;19/07/2016;celular;2016-07-01;2016-07-19
tatu bola;29;0;1;0;01/07/2016;3ª semana;19/07/2016;lazer;2016-07-01;2016-07-19
UNICEF;50;1;0;0;01/07/2016;3ª semana;18/07/2016;doação;2016-07-01;2016-07-18
salgado;10;0;1;0;01/07/2016;3ª semana;18/07/2016;alimentação;2016-07-01;2016-07-18
camiseta jovens;25;0;1;0;01/07/2016;fim de semana;17/07/2016;benção;2016-07-01;2016-07-17
mercado;18.96;0;1;0;01/07/2016;fim de semana;17/07/2016;mercado;2016-07-01;2016-07-17
saque;16;0;1;0;01/07/2016;fim de semana;16/07/2016;saque;2016-07-01;2016-07-16
feira;55;0;1;0;01/07/2016;fim de semana;16/07/2016;feira;2016-07-01;2016-07-16
padaria;33.96;0;1;0;01/07/2016;fim de semana;16/07/2016;padaria;2016-07-01;2016-07-16
lava carro;35;0;1;0;01/07/2016;fim de semana;16/07/2016;carro;2016-07-01;2016-07-16
consorcio;592.84;1;0;0;01/07/2016;2ª semana;15/07/2016;investimento;2016-07-01;2016-07-15
contador;145;1;0;0;01/07/2016;2ª semana;15/07/2016;contador;2016-07-01;2016-07-15
livro bebe;30;0;1;0;01/07/2016;2ª semana;15/07/2016;pessoal;2016-07-01;2016-07-15
divergencia;26;0;1;0;01/07/2016;2ª semana;15/07/2016;divergente;2016-07-01;2016-07-15
sorvete;5.5;0;1;0;01/07/2016;2ª semana;14/07/2016;alimentação;2016-07-01;2016-07-14
agua / bolacha;10;0;1;0;01/07/2016;2ª semana;14/07/2016;alimentação;2016-07-01;2016-07-14
chocolate;4;0;1;0;01/07/2016;2ª semana;14/07/2016;alimentação;2016-07-01;2016-07-14
custo total aluguel;1385.03;1;0;0;01/07/2016;2ª semana;12/07/2016;casa;2016-07-01;2016-07-12
SEGURO CARTÃO;5.79;1;0;0;01/07/2016;2ª semana;11/07/2016;banco;2016-07-01;2016-07-11
mercado andorinha;200;0;1;0;01/07/2016;2ª semana;11/07/2016;mercado;2016-07-01;2016-07-11
agua galão;12;0;1;0;01/07/2016;2ª semana;11/07/2016;alimentação;2016-07-01;2016-07-11
roupa samuel;215.95;0;1;0;01/07/2016;fim de semana;09/07/2016;roupa;2016-07-01;2016-07-09
café;20.46;0;1;0;01/07/2016;2ª semana;08/07/2016;alimentação;2016-07-01;2016-07-08
agua;12.66;0;1;0;01/07/2016;2ª semana;08/07/2016;alimentação;2016-07-01;2016-07-08
agua;4;0;1;0;01/07/2016;2ª semana;08/07/2016;alimentação;2016-07-01;2016-07-08
net;359.27;1;0;0;01/07/2016;1ª semana;06/07/2016;casa;2016-07-01;2016-07-06
luz;100.09;1;0;0;01/07/2016;1ª semana;06/07/2016;casa;2016-07-01;2016-07-06
farmacia;45.58;0;1;0;01/07/2016;2ª semana;06/07/2016;farmacia;2016-07-01;2016-07-06
café;15.5;0;1;0;01/07/2016;2ª semana;06/07/2016;alimentação;2016-07-01;2016-07-06
multa sp;68.1;0;1;0;01/07/2016;2ª semana;06/07/2016;carro;2016-07-01;2016-07-06
lanche;6.6;0;1;0;01/07/2016;2ª semana;05/07/2016;alimentação;2016-07-01;2016-07-05
agua;9.76;0;1;0;01/07/2016;2ª semana;05/07/2016;alimentação;2016-07-01;2016-07-05
café;4.5;0;1;0;01/07/2016;2ª semana;05/07/2016;alimentação;2016-07-01;2016-07-05
lis/juros;9.74;0;1;0;01/07/2016;2ª semana;05/07/2016;banco;2016-07-01;2016-07-05
sptransp;230;1;0;0;01/07/2016;2ª semana;04/07/2016;transporte;2016-07-01;2016-07-04
feira;100;0;1;0;01/07/2016;fim de semana;03/07/2016;feira;2016-07-01;2016-07-03
mistura - alcatra/acem;52.26;0;1;0;01/07/2016;fim de semana;03/07/2016;mercado;2016-07-01;2016-07-03
boticario;104.18;0;1;0;01/07/2016;fim de semana;03/07/2016;pessoal;2016-07-01;2016-07-03
centauro tenis;99.99;0;1;0;01/07/2016;fim de semana;03/07/2016;pessoal;2016-07-01;2016-07-03
lanche subway;41;0;1;0;01/07/2016;fim de semana;03/07/2016;alimentação;2016-07-01;2016-07-03
farmacia - lencinho/ky;17.13;0;1;0;01/07/2016;fim de semana;03/07/2016;farmacia;2016-07-01;2016-07-03
estacionamento;8;0;1;0;01/07/2016;fim de semana;03/07/2016;carro;2016-07-01;2016-07-03
café da manha;5;0;1;0;01/07/2016;fim de semana;02/07/2016;alimentação;2016-07-01;2016-07-02
iof;2.21;0;1;0;01/07/2016;fim de semana;02/07/2016;banco;2016-07-01;2016-07-02
lamapadas carro;49.8;0;1;0;01/07/2016;fim de semana;02/07/2016;carro;2016-07-01;2016-07-02
mac donalds- milk shake;9.5;0;1;0;01/07/2016;fim de semana;02/07/2016;alimentação;2016-07-01;2016-07-02
farmacia;15.85;0;1;0;01/07/2016;fim de semana;02/07/2016;farmacia;2016-07-01;2016-07-02
sorvete;9.9;0;1;0;01/07/2016;fim de semana;02/07/2016;alimentação;2016-07-01;2016-07-02
cinema;31.5;0;1;0;01/07/2016;fim de semana;02/07/2016;lazer;2016-07-01;2016-07-02
pipoca/suco;33.5;0;1;0;01/07/2016;fim de semana;02/07/2016;lazer;2016-07-01;2016-07-02
almoço;101.6;0;1;0;01/07/2016;fim de semana;02/07/2016;lazer;2016-07-01;2016-07-02
sorvete;45;0;1;0;01/07/2016;fim de semana;02/07/2016;alimentação;2016-07-01;2016-07-02
roupa samuel;29.99;0;1;0;01/07/2016;fim de semana;02/07/2016;roupa;2016-07-01;2016-07-02
sobremesa;11;0;1;0;01/07/2016;fim de semana;02/07/2016;alimentação;2016-07-01;2016-07-02
feira;90;0;1;0;01/07/2016;fim de semana;02/07/2016;feira;2016-07-01;2016-07-02
estacionamento;14;0;1;0;01/07/2016;fim de semana;02/07/2016;carro;2016-07-01;2016-07-02
mercado sonda;25.81;0;1;0;01/07/2016;fim de semana;02/07/2016;mercado;2016-07-01;2016-07-02
posto gasolina;158.79;0;1;0;01/07/2016;fim de semana;02/07/2016;carro;2016-07-01;2016-07-02
arizona paes;17.47;0;1;0;01/07/2016;fim de semana;02/07/2016;padaria;2016-07-01;2016-07-02
benção;6;0;1;0;01/07/2016;fim de semana;02/07/2016;benção;2016-07-01;2016-07-02
taxa conta corrente;51;1;0;0;01/07/2016;1ª semana;01/07/2016;banco;2016-07-01;2016-07-01
cartão de credito;0;1;0;1;01/07/2016;;;cartão credito;2016-07-01;2016-07-01
comgas;32.34;1;0;0;01/07/2016;;;casa;2016-07-01;2016-07-01
socio torcedor - sp;0;0;1;1;01/07/2016;;;socio torcedor;2016-07-01;2016-07-01
estacionamento;200;0;1;0;01/07/2016;1ª semana;01/07/2016;carro;2016-07-01;2016-07-01
benção;50;0;1;0;01/07/2016;fim de semana;01/07/2016;benção;2016-07-01;2016-07-01
café da manha;5;0;1;0;01/07/2016;1ª semana;30/06/2016;alimentação;2016-07-01;2016-06-30
bolacha;2.8;0;1;0;01/07/2016;1ª semana;30/06/2016;alimentação;2016-07-01;2016-06-30
mercado;95.53;0;1;0;01/07/2016;1ª semana;30/06/2016;mercado;2016-07-01;2016-06-30
benção;50;0;1;0;01/06/2016;4ª semana;29/06/2016;benção;2016-06-01;2016-06-29
lanche tarde;7.5;0;1;0;01/06/2016;4ª semana;29/06/2016;alimentação;2016-06-01;2016-06-29
agua;3;0;1;0;01/06/2016;4ª semana;28/06/2016;alimentação;2016-06-01;2016-06-28
café da manha;6.5;0;1;0;01/06/2016;4ª semana;28/06/2016;alimentação;2016-06-01;2016-06-28
metro;64;0;1;0;01/06/2016;4ª semana;27/06/2016;transporte;2016-06-01;2016-06-27
diferença;7;0;1;0;01/06/2016;4ª semana;27/06/2016;divergente;2016-06-01;2016-06-27
farmacia - samuel remedio;73.56;0;1;0;01/06/2016;4ª semana;27/06/2016;farmacia;2016-06-01;2016-06-27
lanche tarde;7.5;0;1;0;01/06/2016;4ª semana;27/06/2016;alimentação;2016-06-01;2016-06-27
almoço - aniversario;60.7;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
benção;50;0;1;0;01/06/2016;fim de semana;26/06/2016;benção;2016-06-01;2016-06-26
petisco japones;12.4;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
kids - tenis samuel;25;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
yoggi - yogrt;13.34;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
sorvete chiquinho;13.5;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
estacionamento;7.5;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
biscoito - iwm;15;0;1;0;01/06/2016;fim de semana;26/06/2016;lazer;2016-06-01;2016-06-26
combustivel;150.28;0;1;0;01/06/2016;fim de semana;26/06/2016;carro;2016-06-01;2016-06-26
jocum - formatura;30;0;1;0;01/06/2016;fim de semana;25/06/2016;benção;2016-06-01;2016-06-25
benção;20;0;1;0;01/06/2016;fim de semana;25/06/2016;benção;2016-06-01;2016-06-25
feira;80;0;1;0;01/06/2016;fim de semana;25/06/2016;feira;2016-06-01;2016-06-25
cabelereiro;20;0;1;0;01/06/2016;fim de semana;25/06/2016;pessoal;2016-06-01;2016-06-25
farmacia - gravidez;6.9;0;1;0;01/06/2016;fim de semana;25/06/2016;farmacia;2016-06-01;2016-06-25
seguro;521.75;1;0;0;01/06/2016;4ª semana;23/06/2016;casa;2016-06-01;2016-06-23
sptransp;230;1;0;0;01/09/2016;3ª semana;22/06/2016;transporte;2016-09-01;2016-06-22
mercado;100;0;1;0;01/06/2016;3ª semana;20/06/2016;mercado;2016-06-01;2016-06-20
combustivel;30;0;1;0;01/06/2016;3ª semana;20/06/2016;carro;2016-06-01;2016-06-20
feira;50;0;1;0;01/06/2016;fim de semana;19/06/2016;feira;2016-06-01;2016-06-19
frios;5.34;0;1;0;01/06/2016;3ª semana;17/06/2016;padaria;2016-06-01;2016-06-17
agua / paozinho croassaint;10.98;0;1;0;01/06/2016;3ª semana;17/06/2016;alimentação;2016-06-01;2016-06-17
mercado;72.55;0;1;0;01/06/2016;3ª semana;16/06/2016;mercado;2016-06-01;2016-06-16
lanche natural;9.4;0;1;0;01/06/2016;3ª semana;16/06/2016;alimentação;2016-06-01;2016-06-16
consorcio;592.84;1;0;0;01/06/2016;3ª semana;15/06/2016;investimento;2016-06-01;2016-06-15
agua/bolacha;8;0;1;0;01/06/2016;3ª semana;15/06/2016;alimentação;2016-06-01;2016-06-15
café/salgado;4.5;0;1;0;01/06/2016;3ª semana;15/06/2016;alimentação;2016-06-01;2016-06-15
SEGURO RESIDENCIA;45.21;1;0;0;01/07/2016;2ª semana;15/06/2016;banco;2016-07-01;2016-06-15
café;6.5;0;1;0;01/06/2016;3ª semana;14/06/2016;alimentação;2016-06-01;2016-06-14
agua/café;3;0;1;0;01/06/2016;3ª semana;14/06/2016;alimentação;2016-06-01;2016-06-14
sptransp;120;1;0;0;01/06/2016;2ª semana;13/06/2016;transporte;2016-06-01;2016-06-13
café;10;0;1;0;01/06/2016;3ª semana;13/06/2016;alimentação;2016-06-01;2016-06-13
lanche;10;0;1;0;01/06/2016;3ª semana;13/06/2016;alimentação;2016-06-01;2016-06-13
sptransp;4;0;1;0;01/06/2016;3ª semana;13/06/2016;transporte;2016-06-01;2016-06-13
michelle;5;0;1;0;01/06/2016;3ª semana;13/06/2016;michelle;2016-06-01;2016-06-13
mercado;35;0;1;0;01/06/2016;fim de semana;12/06/2016;mercado;2016-06-01;2016-06-12
cabelereiro;20;0;1;0;01/06/2016;fim de semana;12/06/2016;pessoal;2016-06-01;2016-06-12
feira;40;0;1;0;01/06/2016;fim de semana;12/06/2016;feira;2016-06-01;2016-06-12
benção;10;0;1;0;01/06/2016;fim de semana;12/06/2016;benção;2016-06-01;2016-06-12
gasolina;96.99;0;1;0;01/06/2016;fim de semana;11/06/2016;carro;2016-06-01;2016-06-11
jantar dia dos namorados;145.07;0;1;0;01/06/2016;fim de semana;11/06/2016;lazer;2016-06-01;2016-06-11
roupa samuel;130;0;1;0;01/06/2016;fim de semana;11/06/2016;roupa;2016-06-01;2016-06-11
feijoada - jocum;45;0;1;0;01/06/2016;fim de semana;11/06/2016;almoço;2016-06-01;2016-06-11
custo total aluguel;1397.11;1;0;0;01/06/2016;2ª semana;10/06/2016;casa;2016-06-01;2016-06-10
SEGURO RESIDENCIA;45.69;1;0;0;01/06/2016;2ª semana;10/06/2016;banco;2016-06-01;2016-06-10
contador;145;1;0;0;01/06/2016;2ª semana;10/06/2016;contador;2016-06-01;2016-06-10
comgas;16.81;1;0;0;01/06/2016;2ª semana;10/06/2016;casa;2016-06-01;2016-06-10
SEGURO CARTÃO;5.79;1;0;0;01/06/2016;1ª semana;10/06/2016;banco;2016-06-01;2016-06-10
UNICEF;50;1;0;0;01/06/2016;1ª semana;10/06/2016;doação;2016-06-01;2016-06-10
almoço;32.92;0;1;0;01/06/2016;2ª semana;10/06/2016;almoço;2016-06-01;2016-06-10
chocolate quente;9;0;1;0;01/06/2016;2ª semana;10/06/2016;alimentação;2016-06-01;2016-06-10
café;7;0;1;0;01/06/2016;2ª semana;09/06/2016;alimentação;2016-06-01;2016-06-09
café a tarde;4;0;1;0;01/06/2016;2ª semana;09/06/2016;alimentação;2016-06-01;2016-06-09
cartão de credito;1378.97;1;0;0;01/06/2016;2ª semana;08/06/2016;cartão credito;2016-06-01;2016-06-08
chocolate metro;2;0;1;0;01/06/2016;2ª semana;08/06/2016;alimentação;2016-06-01;2016-06-08
mocoto;5;0;1;0;01/06/2016;2ª semana;08/06/2016;alimentação;2016-06-01;2016-06-08
chocolate/agua;6;0;1;0;01/06/2016;2ª semana;08/06/2016;alimentação;2016-06-01;2016-06-08
net;343.94;1;0;0;01/06/2016;1ª semana;06/06/2016;casa;2016-06-01;2016-06-06
luz;69.46;1;0;0;01/06/2016;2ª semana;06/06/2016;casa;2016-06-01;2016-06-06
socio torcedor - sp;30;0;1;0;01/06/2016;2ª semana;06/06/2016;socio torcedor;2016-06-01;2016-06-06
lanche;3.8;0;1;0;01/06/2016;2ª semana;06/06/2016;alimentação;2016-06-01;2016-06-06
chocolate quente;9;0;1;0;01/06/2016;2ª semana;06/06/2016;alimentação;2016-06-01;2016-06-06
