custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
bolacha;11;1;0;0;01/12/2016;1ª semana;09/12/2016;alimentação;2016-12-01;2016-12-09
custo total aluguel;1437.5;1;0;0;01/12/2016;1ª semana;08/12/2016;casa;2016-12-01;2016-12-08
café;6.75;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
suco metro;3.5;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
café;8.5;1;0;0;01/12/2016;1ª semana;08/12/2016;alimentação;2016-12-01;2016-12-08
suco metro;3.5;1;0;0;01/12/2016;1ª semana;07/12/2016;alimentação;2016-12-01;2016-12-07
mcdonalds;15.5;1;0;0;01/12/2016;1ª semana;06/12/2016;alimentação;2016-12-01;2016-12-06
taxa conta corrente;52.4;1;0;0;01/12/2016;1ª semana;05/12/2016;banco;2016-12-01;2016-12-05
lis/juros;32.66;1;0;0;01/12/2016;1ª semana;05/12/2016;banco;2016-12-01;2016-12-05
benção;100;0;1;0;01/12/2016;fim de semana;04/12/2016;pessoal;2016-12-01;2016-12-04
feira;70;0;1;0;01/12/2016;fim de semana;04/12/2016;feira;2016-12-01;2016-12-04
estacionamento;200;0;1;0;01/12/2016;fim de semana;03/12/2016;carro;2016-12-01;2016-12-03
mercado;87.12;0;1;0;01/12/2016;fim de semana;03/12/2016;mercado;2016-12-01;2016-12-03
michelle;18.25;0;1;0;01/12/2016;1ª semana;03/12/2016;pessoal;2016-12-01;2016-12-03
net;368.68;1;0;0;01/12/2016;1ª semana;02/12/2016;casa;2016-12-01;2016-12-02
luz;87.36;1;0;0;01/12/2016;1ª semana;02/12/2016;casa;2016-12-01;2016-12-02
cartão de credito;3403.55;1;0;0;01/12/2016;1ª semana;02/12/2016;cartão credito;2016-12-01;2016-12-02
sptransp;230;1;0;0;01/12/2016;1ª semana;02/12/2016;transporte;2016-12-01;2016-12-02
mercado;64.2;0;1;0;01/12/2016;1ª semana;02/12/2016;mercado;2016-12-01;2016-12-02
deposito benção;200;0;1;0;01/12/2016;1ª semana;02/12/2016;pessoal;2016-12-01;2016-12-02
sptransp;3.75;0;1;0;01/12/2016;1ª semana;02/12/2016;transporte;2016-12-01;2016-12-02
tapioca;10;0;1;0;01/12/2016;1ª semana;01/12/2016;alimentação;2016-12-01;2016-12-01
padaria;22.56;0;1;0;01/12/2016;1ª semana;01/12/2016;padaria;2016-12-01;2016-12-01
iof;5.79;0;1;0;01/12/2016;1ª semana;01/12/2016;banco;2016-12-01;2016-12-01
acai;8;0;1;0;01/12/2016;1ª semana;01/12/2016;alimentação;2016-12-01;2016-12-01
agua;3;0;1;0;01/11/2016;5ª semana;30/11/2016;alimentação;2016-11-01;2016-11-30
suco;3.5;0;1;0;01/11/2016;5ª semana;30/11/2016;alimentação;2016-11-01;2016-11-30
bolacha;6;0;1;0;01/11/2016;5ª semana;29/11/2016;alimentação;2016-11-01;2016-11-29
coxinha;7.9;0;1;0;01/11/2016;5ª semana;29/11/2016;alimentação;2016-11-01;2016-11-29
comgas;23.55;1;0;0;01/11/2016;5ª semana;28/11/2016;casa;2016-11-01;2016-11-28
estacionamento;8;0;1;0;01/11/2016;5ª semana;28/11/2016;carro;2016-11-01;2016-11-28
presente;100;0;1;0;01/11/2016;5ª semana;28/11/2016;pessoal;2016-11-01;2016-11-28
agua;2.99;0;1;0;01/11/2016;5ª semana;28/11/2016;alimentação;2016-11-01;2016-11-28
bolo;15;0;1;0;01/11/2016;5ª semana;28/11/2016;alimentação;2016-11-01;2016-11-28
material para varal;24.4;0;1;0;01/11/2016;5ª semana;28/11/2016;pessoal;2016-11-01;2016-11-28
almoço;34.78;0;1;0;01/11/2016;4ª semana;25/11/2016;almoço;2016-11-01;2016-11-25
divergente;148;0;1;0;01/11/2016;4ª semana;25/11/2016;divergente;2016-11-01;2016-11-25
almoço;27.68;0;1;0;01/11/2016;4ª semana;24/11/2016;almoço;2016-11-01;2016-11-24
varanda bolo;4.74;0;1;0;01/11/2016;4ª semana;23/11/2016;alimentação;2016-11-01;2016-11-23
café;4.5;0;1;0;01/11/2016;4ª semana;22/11/2016;alimentação;2016-11-01;2016-11-22
lanche;4;0;1;0;01/11/2016;4ª semana;22/11/2016;alimentação;2016-11-01;2016-11-22
agua;3;0;1;0;01/11/2016;4ª semana;21/11/2016;alimentação;2016-11-01;2016-11-21
café;3.5;0;1;0;01/11/2016;4ª semana;21/11/2016;alimentação;2016-11-01;2016-11-21
café;7;0;1;0;01/11/2016;4ª semana;21/11/2016;alimentação;2016-11-01;2016-11-21
lanche;5;0;1;0;01/11/2016;4ª semana;21/11/2016;alimentação;2016-11-01;2016-11-21
salgado/café;3;0;1;0;01/11/2016;4ª semana;21/11/2016;alimentação;2016-11-01;2016-11-21
saque;50;0;1;0;01/11/2016;3ª semana;21/11/2016;saque;2016-11-01;2016-11-21
saque;100;0;1;0;01/11/2016;3ª semana;21/11/2016;saque;2016-11-01;2016-11-21
saque;73;0;1;0;01/11/2016;fim de semana;20/11/2016;saque;2016-11-01;2016-11-20
feira;50;0;1;0;01/11/2016;fim de semana;20/11/2016;feira;2016-11-01;2016-11-20
benção;50;0;1;0;01/11/2016;fim de semana;20/11/2016;benção;2016-11-01;2016-11-20
cabelereiro;40;0;1;0;01/11/2016;fim de semana;19/11/2016;pessoal;2016-11-01;2016-11-19
estacionamento;10;0;1;0;01/11/2016;fim de semana;19/11/2016;carro;2016-11-01;2016-11-19
michelle;20;0;1;0;01/11/2016;fim de semana;19/11/2016;pessoal;2016-11-01;2016-11-19
alimand;9;0;1;0;01/11/2016;3ª semana;18/11/2016;alimentação;2016-11-01;2016-11-18
padaria;28.78;0;1;0;01/11/2016;3ª semana;18/11/2016;padaria;2016-11-01;2016-11-18
carrefour;48.79;0;1;0;01/11/2016;3ª semana;18/11/2016;mercado;2016-11-01;2016-11-18
consorcio;666.46;1;0;0;01/11/2016;3ª semana;16/11/2016;investimento;2016-11-01;2016-11-16
UNICEF;50;1;0;0;01/11/2016;3ª semana;16/11/2016;doação;2016-11-01;2016-11-16
almoço;22;0;1;0;01/11/2016;3ª semana;14/11/2016;almoço;2016-11-01;2016-11-14
mercado;10;0;1;0;01/11/2016;3ª semana;14/11/2016;mercado;2016-11-01;2016-11-14
lanche;10;0;1;0;01/11/2016;3ª semana;14/11/2016;alimentação;2016-11-01;2016-11-14
lanche;20;0;1;0;01/11/2016;3ª semana;14/11/2016;alimentação;2016-11-01;2016-11-14
custo total aluguel;1445;1;0;0;01/11/2016;2ª semana;11/11/2016;casa;2016-11-01;2016-11-11
contador;145;1;0;0;01/11/2016;2ª semana;11/11/2016;contador;2016-11-01;2016-11-11
pen drive;50;0;1;0;01/11/2016;2ª semana;11/11/2016;pessoal;2016-11-01;2016-11-11
benção;50;0;1;0;01/11/2016;2ª semana;11/11/2016;benção;2016-11-01;2016-11-11
alimand;10;0;1;0;01/11/2016;2ª semana;11/11/2016;alimentação;2016-11-01;2016-11-11
doces/pipoca;51.95;0;1;0;01/11/2016;2ª semana;11/11/2016;alimentação;2016-11-01;2016-11-11
michelle;50;0;1;0;01/11/2016;2ª semana;11/11/2016;pessoal;2016-11-01;2016-11-11
lanche barra funda;15;0;1;0;01/11/2016;2ª semana;11/11/2016;alimentação;2016-11-01;2016-11-11
lanche;11.4;0;1;0;01/11/2016;2ª semana;11/11/2016;alimentação;2016-11-01;2016-11-11
lanche;11;0;1;0;01/11/2016;2ª semana;11/11/2016;alimentação;2016-11-01;2016-11-11
saque;250;0;1;0;01/11/2016;2ª semana;11/11/2016;saque;2016-11-01;2016-11-11
SEGURO RESIDENCIA;45.2;1;0;0;01/11/2016;2ª semana;10/11/2016;banco;2016-11-01;2016-11-10
SEGURO CARTÃO;5.79;1;0;0;01/11/2016;2ª semana;10/11/2016;banco;2016-11-01;2016-11-10
almoço;25.15;0;1;0;01/11/2016;2ª semana;10/11/2016;almoço;2016-11-01;2016-11-10
café;13.3;0;1;0;01/11/2016;2ª semana;10/11/2016;alimentação;2016-11-01;2016-11-10
wendys;9;0;1;0;01/11/2016;2ª semana;10/11/2016;alimentação;2016-11-01;2016-11-10
suco barrafunda;10.75;0;1;0;01/11/2016;2ª semana;10/11/2016;alimentação;2016-11-01;2016-11-10
taxa conta corrente;52.4;1;0;0;01/11/2016;1ª semana;07/11/2016;banco;2016-11-01;2016-11-07
net;343.89;1;0;0;01/11/2016;1ª semana;07/11/2016;casa;2016-11-01;2016-11-07
luz;90.92;1;0;0;01/11/2016;1ª semana;07/11/2016;casa;2016-11-01;2016-11-07
juros;88.39;0;1;0;01/11/2016;2ª semana;07/11/2016;banco;2016-11-01;2016-11-07
milho;5;0;1;0;01/11/2016;2ª semana;07/11/2016;alimentação;2016-11-01;2016-11-07
agua;3.8;0;1;0;01/11/2016;2ª semana;07/11/2016;alimentação;2016-11-01;2016-11-07
bolacha/chocolate;10.5;0;1;0;01/11/2016;2ª semana;07/11/2016;alimentação;2016-11-01;2016-11-07
mercado;9.24;0;1;0;01/11/2016;fim de semana;07/11/2016;mercado;2016-11-01;2016-11-07
suco;3.5;0;1;0;01/11/2016;2ª semana;07/11/2016;alimentação;2016-11-01;2016-11-07
chocolate;12.9;0;1;0;01/11/2016;1ª semana;04/11/2016;alimentação;2016-11-01;2016-11-04
bolo;4.04;0;1;0;01/11/2016;1ª semana;04/11/2016;alimentação;2016-11-01;2016-11-04
alimand;4.1;0;1;0;01/11/2016;1ª semana;03/11/2016;alimentação;2016-11-01;2016-11-03
estacionamento;200;0;1;0;01/11/2016;1ª semana;02/11/2016;carro;2016-11-01;2016-11-02
emprestimo;70;0;1;0;01/11/2016;1ª semana;02/11/2016;emprestimo;2016-11-01;2016-11-02
sorvete;20;0;1;0;01/11/2016;1ª semana;02/11/2016;alimentação;2016-11-01;2016-11-02
alimentacao;25;0;1;0;01/11/2016;1ª semana;02/11/2016;alimentação;2016-11-01;2016-11-02
cartão de credito;2414.9;1;0;0;01/11/2016;1ª semana;01/11/2016;cartão credito;2016-11-01;2016-11-01
suco;3.5;0;1;0;01/11/2016;1ª semana;01/11/2016;alimentação;2016-11-01;2016-11-01
salgado;3;0;1;0;01/11/2016;1ª semana;01/11/2016;alimentação;2016-11-01;2016-11-01
chocolate;8;0;1;0;01/11/2016;1ª semana;01/11/2016;alimentação;2016-11-01;2016-11-01
revista colorir;2;0;1;0;01/11/2016;1ª semana;01/11/2016;pessoal;2016-11-01;2016-11-01
sptransp;230;1;0;0;01/11/2016;1ª semana;31/10/2016;transporte;2016-11-01;2016-10-31
cabelereiro;3;0;1;0;01/10/2016;fim de semana;29/10/2016;pessoal;2016-10-01;2016-10-29
café;3.5;0;1;0;01/10/2016;4ª semana;28/10/2016;alimentação;2016-10-01;2016-10-28
sorvete;9;0;1;0;01/10/2016;4ª semana;28/10/2016;alimentação;2016-10-01;2016-10-28
café;8;0;1;0;01/10/2016;4ª semana;26/10/2016;alimentação;2016-10-01;2016-10-26
sptransp;60;0;1;0;01/10/2016;4ª semana;25/10/2016;transporte;2016-10-01;2016-10-25
