"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"seguro";"22/03/2021";"INT  PAG TIT BANCO 237";"4175";-240,13;240,13;0;01/03/2021
"agua";"22/03/2021";"ELECTRONBD";"9212";-11;11;0;01/03/2021
"compras";"22/03/2021";"ELECTRONEVANDRO G N";"9212";-27;27;0;01/03/2021
"feira";"22/03/2021";"ELECTRONFEIRANTE";"9212";-15;15;0;01/03/2021
"alimentação";"22/03/2021";"ELECTRONINOVESORVET";"9212";-16;16;0;01/03/2021
"compras";"22/03/2021";"ELECTRONPAG*CleliaA";"9212";-23;23;0;01/03/2021
"frango";"22/03/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/03/2021
"compras";"22/03/2021";"ELECTRONSERGIO EIZO";"9212";-12;12;0;01/03/2021
"mercado";"22/03/2021";"ELECTRONTRIMAIS II";"9212";-44,18;44,18;0;01/03/2021
"reembolso";"22/03/2021";"PIX TRANSF  GINENUT20/03";"9131";-326,5;326,5;0;01/03/2021
"saldo";"22/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"23/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"24/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"compras";"25/03/2021";"ELECTRONLOJAS AMERI";"9212";-56,18;56,18;0;01/03/2021
"saldo";"25/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"26/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saque";"29/03/2021";"SAQUE 24H 08959967 28/03";"5086";-100;100;0;01/03/2021
"compras";"29/03/2021";"ELECTRONBD";"9212";-11;11;0;01/03/2021
"compras";"29/03/2021";"ELECTRONFENIX";"9212";-68;68;0;01/03/2021
"frango";"29/03/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/03/2021
"saldo";"29/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"30/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"igreja";"31/03/2021";"PIX TRANSF  IMW 3 R31/03";"9327";-362,4;362,4;0;01/03/2021
"compras";"31/03/2021";"PIX TRANSF  ANDRE N31/03";"9129";3624,01;0;3624,01;01/03/2021
"saldo";"31/03/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/03/2021
"saldo";"31/03/2021";"SALDO ANTERIOR";;;0;0;01/04/2021
"padaria";"01/04/2021";"ELECTRONARIZONA PAE";"9212";-59;59;0;01/04/2021
"compras";"01/04/2021";"ELECTRONLOJAS AMERI";"9212";-124,43;124,43;0;01/04/2021
"saldo";"01/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"condominio";"05/04/2021";"INT PAG TIT 109054906699";"4175";-485,42;485,42;0;01/04/2021
"poupança";"05/04/2021";"TBI 9293.22915-0/500";"4175";-2000;2000;0;01/04/2021
"celular";"05/04/2021";"INT NEXTEL 9099999679470";"4175";-86,87;86,87;0;01/04/2021
"celular";"05/04/2021";"INT NEXTEL 9099999679474";"4175";-52,14;52,14;0;01/04/2021
"cabeleireiro";"05/04/2021";"PIX TRANSF  ALEXAND03/04";"9123";-25;25;0;01/04/2021
"doação";"05/04/2021";"PIX TRANSF  Bruna R03/04";"9126";-100;100;0;01/04/2021
"alimentação";"05/04/2021";"PIX TRANSF  JONAS A05/04";"9120";-45;45;0;01/04/2021
"banco";"05/04/2021";"TAR PACOTE ITAU   MAR/21";"9293";-79,5;79,5;0;01/04/2021
"saldo";"05/04/2021";"REND PAGO APLIC AUT MAIS";;0,01;0;0,01;01/04/2021
"saldo";"05/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"saldo";"06/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"saldo";"07/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"enfermagem";"08/04/2021";"INT PAG TIT 109006113599";"4175";-471,06;471,06;0;01/04/2021
"mercado";"08/04/2021";"ELECTRONTRIMAIS II";"9212";-92,09;92,09;0;01/04/2021
"saldo";"08/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"saldo";"09/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"saque";"12/04/2021";"SAQUE 24H 11261716 11/04";"5086";-100;100;0;01/04/2021
"saque";"12/04/2021";"SAQUE 24H 13658083 11/04";"5086";-40;40;0;01/04/2021
"gasolina";"12/04/2021";"ELECTRONAUTO POSTO";"9212";-12,98;12,98;0;01/04/2021
"frango";"12/04/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/04/2021
"alimentação";"12/04/2021";"ELECTRONPAG*Josisma";"9212";-15;15;0;01/04/2021
"banco";"12/04/2021";"SEGURO CARTAO";"9293";-6,94;6,94;0;01/04/2021
"doação";"12/04/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/04/2021
"saldo";"12/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"padaria";"14/04/2021";"ELECTRONARIZONA PAE";"9212";-28,76;28,76;0;01/04/2021
"creche";"14/04/2021";"PIX TRANSF  ESPACO 14/04";"9126";-422;422;0;01/04/2021
"saldo";"14/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"igreja";"15/04/2021";"PIX TRANSF  IMW 3 R15/04";"9120";-539,2;539,2;0;01/04/2021
"rembolso";"15/04/2021";"TED 237.0001BRADESCO SAU";;150;0;150;01/04/2021
"compras";"15/04/2021";"PIX TRANSF  ANDRE N15/04";"9925";5392;0;5392;01/04/2021
"saldo";"15/04/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/04/2021
"mercado";"16/04/2021";"ELECTRONTRIMAIS II";"9212";-60,08;60,08;0;01/04/2021
"cartão de credito";"16/04/2021";"INT ITAUCARD";"4175";-5465,37;5465,37;0;01/04/2021
"saldo";"16/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"padaria";"19/04/2021";"ELECTRONARIZONA PAE";"9212";-14,66;14,66;0;01/04/2021
"compras";"19/04/2021";"ELECTRONESTETICA AU";"9212";-35;35;0;01/04/2021
"compras";"19/04/2021";"ELECTRONNELSON NASC";"9212";-10;10;0;01/04/2021
"alimentação";"19/04/2021";"ELECTRONPASTEIS NIS";"9212";-8;8;0;01/04/2021
"compras";"19/04/2021";"ELECTRONSR ELIAS CH";"9212";-15;15;0;01/04/2021
"mercado";"19/04/2021";"ELECTRONTRIMAIS II";"9212";-148,19;148,19;0;01/04/2021
"saldo";"19/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"compras";"20/04/2021";"ELECTRONBELLO ART C";"9212";-33;33;0;01/04/2021
"compras";"20/04/2021";"ELECTRONMARIA DAS G";"9212";-33;33;0;01/04/2021
"mercado";"20/04/2021";"ELECTRONTRIMAIS II";"9212";-40,62;40,62;0;01/04/2021
"seguro";"20/04/2021";"DEB AUTOR AZUL CIA SEG";"9293";-238,78;238,78;0;01/04/2021
"compras";"20/04/2021";"EST ELECMARIA DAS G";"9212";33;0;33;01/04/2021
"saldo";"20/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"alimentação";"22/04/2021";"ELECTRONHABIB S";"9212";-7,8;7,8;0;01/04/2021
"saldo";"22/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"michelle";"26/04/2021";"INT DARF333202885930";"4175";-6000;6000;0;01/04/2021
"padaria";"26/04/2021";"ELECTRONARIZONA PAE";"9212";-16,89;16,89;0;01/04/2021
"compras";"26/04/2021";"ELECTRONBD";"9212";-11;11;0;01/04/2021
"compras";"26/04/2021";"ELECTRONLOUCADEMIA";"9212";-50;50;0;01/04/2021
"mercado";"26/04/2021";"ELECTRONTRIMAIS II";"9212";-80,38;80,38;0;01/04/2021
"resgate";"26/04/2021";"TBI 9293.22915-0/500";"4175";8000;0;8000;01/04/2021
"saldo";"26/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"padaria";"27/04/2021";"ELECTRONARIZONA PAE";"9212";-3,04;3,04;0;01/04/2021
"farmacia";"27/04/2021";"ELECTRONDROGARIA PR";"9212";-45,44;45,44;0;01/04/2021
"saldo";"27/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"padaria";"28/04/2021";"ELECTRONARIZONA PAE";"9212";-30,76;30,76;0;01/04/2021
"mercado";"28/04/2021";"ELECTRONTRIMAIS II";"9212";-83,92;83,92;0;01/04/2021
"compras";"28/04/2021";"SALDO DO DIA";;;0;0;01/04/2021
"mercado";"29/04/2021";"ELECTRONTRIMAIS II";"9212";-15,13;15,13;0;01/04/2021
"saldo";"29/04/2021";"SALDO DO DIA";"9212";-15,13;0;0;01/04/2021
"saldo";"29/04/2021";"SALDO ANTERIOR";;;0;0;01/05/2021
"enfermagem";"03/05/2021";"INT PAG TIT 109006113607";"4175";-471,06;471,06;0;01/05/2021
"condominio";"03/05/2021";"INT PAG TIT 109062715132";"4175";-491,85;491,85;0;01/05/2021
"saque";"03/05/2021";"SAQUE 24H 10893139 02/05";"5086";-100;100;0;01/05/2021
"celular";"03/05/2021";"INT NEXTEL 9499999675466";"4175";-51;51;0;01/05/2021
"celular";"03/05/2021";"INT NEXTEL 9899999675456";"4175";-85;85;0;01/05/2021
"padaria";"03/05/2021";"ELECTRONARIZONA PAE";"9212";-82,48;82,48;0;01/05/2021
"padaria";"03/05/2021";"ELECTRONARIZONA PAE";"9212";-4,03;4,03;0;01/05/2021
"agua";"03/05/2021";"ELECTRONBD";"9212";-11;11;0;01/05/2021
"compras";"03/05/2021";"ELECTRONENG CAETANO";"9212";-19,9;19,9;0;01/05/2021
"frango";"03/05/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/05/2021
"feira";"03/05/2021";"ELECTRONPAG*SidneyD";"9212";-13;13;0;01/05/2021
"farmacia";"03/05/2021";"ELECTRONPROMOFARMA";"9212";-28,09;28,09;0;01/05/2021
"farmacia";"03/05/2021";"ELECTRONPROMOFARMA";"9212";-30,89;30,89;0;01/05/2021
"farmacia";"03/05/2021";"ELECTRONRAIA 47";"9212";-16,99;16,99;0;01/05/2021
"mercado";"03/05/2021";"ELECTRONTRIMAIS II";"9212";-22,8;22,8;0;01/05/2021
"benção";"03/05/2021";"PIX TRANSF  BRUNA R02/05";"9120";-50;50;0;01/05/2021
"seminario";"03/05/2021";"PIX TRANSF  IMW R 303/05";"9779";-255;255;0;01/05/2021
"igreja";"03/05/2021";"PIX TRANSF  IMW 3 R02/05";"9122";-394,33;394,33;0;01/05/2021
"pix";"03/05/2021";"PIX TRANSF  ANDRE N02/05";"9125";3943,38;0;3943,38;01/05/2021
"banco";"03/05/2021";"IOF";;-9,81;9,81;0;01/05/2021
"saldo";"03/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"compras";"04/05/2021";"ELECTRONPANDYS";"9212";-32;32;0;01/05/2021
"banco";"04/05/2021";"TAR PACOTE ITAU   ABR/21";"9293";-82,9;82,9;0;01/05/2021
"saldo";"04/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"benção";"05/05/2021";"PIX TRANSF  DILSHAD05/05";"9126";-100;100;0;01/05/2021
"banco";"05/05/2021";"LIS/JUROS     13 DIAS";;-31,58;31,58;0;01/05/2021
"saldo";"05/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"compras";"06/05/2021";"ELECTRONANTONIO SER";"9212";-65;65;0;01/05/2021
"saldo";"06/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"cabeleireiro";"07/05/2021";"PIX TRANSF  ALEXAND07/05";"9014";-25;25;0;01/05/2021
"reembolso";"07/05/2021";"PIX TRANSF  GINENUT07/05";"9028";-150;150;0;01/05/2021
"saldo";"07/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saque";"10/05/2021";"SAQUE 24H 14793616 09/05";"5086";-100;100;0;01/05/2021
"farmacia";"10/05/2021";"ELECTRONDROGARIA PR";"9212";-55,17;55,17;0;01/05/2021
"compras";"10/05/2021";"ELECTRONRODRIGO MAU";"9212";-2;2;0;01/05/2021
"banco";"10/05/2021";"SEGURO CARTAO";"9293";-6,94;6,94;0;01/05/2021
"saldo";"10/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saldo";"11/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"compras";"12/05/2021";"ELECTRONPAG*MONICAP";"9212";-10;10;0;01/05/2021
"creche";"12/05/2021";"PIX TRANSF  ESPACO 12/05";"9026";-422;422;0;01/05/2021
"doação";"12/05/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/05/2021
"saldo";"12/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saldo";"13/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"agua";"14/05/2021";"ELECTRONBD";"9212";-11;11;0;01/05/2021
"compras";"14/05/2021";"ELECTRONPAG*BazarLi";"9212";-28,5;28,5;0;01/05/2021
"compras";"14/05/2021";"ELECTRONPAG*MONICAP";"9212";-12,2;12,2;0;01/05/2021
"saldo";"14/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saque";"17/05/2021";"SAQUE 24H 08956930 15/05";"5086";-20;20;0;01/05/2021
"saque";"17/05/2021";"SAQUE 24H 10958403 16/05";"5086";-100;100;0;01/05/2021
"padaria";"17/05/2021";"ELECTRONARIZONA PAE";"9212";-16,4;16,4;0;01/05/2021
"padaria";"17/05/2021";"ELECTRONARIZONA PAE";"9212";-24,66;24,66;0;01/05/2021
"farmacia";"17/05/2021";"ELECTRONDROGARIA PR";"9212";-62,57;62,57;0;01/05/2021
"frango";"17/05/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/05/2021
"pix";"17/05/2021";"PIX TRANSF  BRUNA R16/05";"9327";-50;50;0;01/05/2021
"igreja";"17/05/2021";"PIX TRANSF  IMW 3 R16/05";"9026";-539,2;539,2;0;01/05/2021
"cartão de credito";"17/05/2021";"INT ITAUCARD";"4175";-5527,93;5527,93;0;01/05/2021
"resgate";"17/05/2021";"TBI 9293.22915-0/500";"4175";1000;0;1000;01/05/2021
"pix";"17/05/2021";"PIX TRANSF  ANDRE N16/05";"9028";5392;0;5392;01/05/2021
"saldo";"17/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saldo";"18/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"compras";"19/05/2021";"ELECTRONPAG*MONICAP";"9212";-20,2;20,2;0;01/05/2021
"saldo";"19/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saldo";"20/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"compras";"21/05/2021";"ELECTRONPAG*MariaAp";"9212";-16;16;0;01/05/2021
"compras";"21/05/2021";"ELECTRONPAG*MONICAP";"9212";-14,7;14,7;0;01/05/2021
"saldo";"21/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saque";"24/05/2021";"SAQUE 24H 09069402 23/05";"5086";-100;100;0;01/05/2021
"padaria";"24/05/2021";"ELECTRONARIZONA PAE";"9212";-40,32;40,32;0;01/05/2021
"compras";"24/05/2021";"ELECTRONBARRACA DE";"9212";-20;20;0;01/05/2021
"agua";"24/05/2021";"ELECTRONBD";"9212";-11;11;0;01/05/2021
"mercado";"24/05/2021";"ELECTRONMINI MERCAD";"9212";-15;15;0;01/05/2021
"frango";"24/05/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/05/2021
"compras";"24/05/2021";"ELECTRONSONEDA PERF";"9212";-27,9;27,9;0;01/05/2021
"mercado";"24/05/2021";"ELECTRONTRIMAIS II";"9212";-64,72;64,72;0;01/05/2021
"mercado";"24/05/2021";"ELECTRONTRIMAIS II";"9212";-140,24;140,24;0;01/05/2021
"saldo";"24/05/2021";"REND PAGO APLIC AUT MAIS";;0,01;0;0,01;01/05/2021
"saldo";"24/05/2021";"SALDO DO DIA";;;0;0;01/05/2021
"farmacia";"25/05/2021";"ELECTRONFARMACIAS P";"9212";-5,99;5,99;0;01/05/2021
"saldo";"25/05/2021";"SALDO DO DIA";;;0;0;01/05/2021
"compras";"26/05/2021";"ELECTRONPAG*MONICAP";"9212";-16,7;16,7;0;01/05/2021
"saldo";"26/05/2021";"SALDO DO DIA";;;0;0;01/05/2021
"boleto";"28/05/2021";"INT  PAG TIT BANCO 237";"4175";-244,51;244,51;0;01/05/2021
"saldo";"28/05/2021";"ELECTRONPAG*Juliana";"9212";-16,2;16,2;0;01/05/2021
"saldo";"28/05/2021";"SALDO DO DIA";;;0;0;01/05/2021
"padaria";"31/05/2021";"ELECTRONARIZONA PAE";"9212";-29,17;29,17;0;01/05/2021
"farmacia";"31/05/2021";"ELECTRONFARMACIAS P";"9212";-5,99;5,99;0;01/05/2021
"compras";"31/05/2021";"ELECTRONLOJAS AMERI";"9212";-16,98;16,98;0;01/05/2021
"farmacia";"31/05/2021";"ELECTRONPROMOFARMA";"9212";-24,51;24,51;0;01/05/2021
"compras";"31/05/2021";"ELECTRONSONEDA PERF";"9212";-31,25;31,25;0;01/05/2021
"mercado";"31/05/2021";"ELECTRONYINGXUE MA";"9212";-25;25;0;01/05/2021
"mercado";"31/05/2021";"ELECTRONYINGXUE MA";"9212";-12;12;0;01/05/2021
"igreja";"31/05/2021";"PIX TRANSF  IMW 3 R31/05";"9123";-411,12;411,12;0;01/05/2021
"pix";"31/05/2021";"PIX TRANSF  ANDRE N31/05";"9953";4111,2;0;4111,2;01/05/2021
"saldo";"31/05/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/05/2021
"saldo";"31/05/2021";"SALDO DO DIA";;;0;0;01/05/2021
"saldo";"31/05/2021";"SALDO ANTERIOR";;;0;0;01/06/2021
"banco";"01/06/2021";"IOF";;-1,02;1,02;0;01/06/2021
"saldo";"01/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"compras";"02/06/2021";"ELECTRONPAG*Juliana";"9212";-11,5;11,5;0;01/06/2021
"compras";"02/06/2021";"TAR PACOTE ITAU   MAI/21";"9293";-82,9;82,9;0;01/06/2021
"saldo";"02/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"condominio";"04/06/2021";"INT PAG TIT 109068881029";"4175";-552,32;552,32;0;01/06/2021
"farmacia";"04/06/2021";"ELECTRONFARMACIAS P";"9212";-75,44;75,44;0;01/06/2021
"farmacia";"04/06/2021";"ELECTRONFARMACIAS P";"9212";-7,95;7,95;0;01/06/2021
"compras";"04/06/2021";"ELECTRONPAG*Juliana";"9212";-11,7;11,7;0;01/06/2021
"alimentação";"04/06/2021";"ELECTRONQUITANDA ME";"9212";-6;6;0;01/06/2021
"compras";"04/06/2021";"ELECTRONRICARDO VAS";"9212";-27,21;27,21;0;01/06/2021
"compras";"04/06/2021";"ELECTRONS KOMESU MA";"9212";-9,75;9,75;0;01/06/2021
"mercado";"04/06/2021";"ELECTRONTRIMAIS II";"9212";-132,13;132,13;0;01/06/2021
"pix";"04/06/2021";"PIX TRANSF  ANDRE N04/06";"9028";-100;100;0;01/06/2021
"entrada";"04/06/2021";"PIX TRANSF  Michele04/06";"9028";30;0;30;01/06/2021
"saldo";"04/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"saque";"07/06/2021";"SAQUE 24H 14050421 06/06";"5086";-100;100;0;01/06/2021
"padaria";"07/06/2021";"ELECTRONARIZONA PAE";"9212";-26,75;26,75;0;01/06/2021
"compras";"07/06/2021";"ELECTRONBD";"9212";-11;11;0;01/06/2021
"compras";"07/06/2021";"ELECTRONCINEMARK TU";"9212";-28;28;0;01/06/2021
"compras";"07/06/2021";"ELECTRONLOJAS AMERI";"9212";-10,99;10,99;0;01/06/2021
"frango";"07/06/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/06/2021
"compras";"07/06/2021";"ELECTRONSHOPPING TU";"9212";-13;13;0;01/06/2021
"mercado";"07/06/2021";"ELECTRONTRIMAIS II";"9212";-190,33;190,33;0;01/06/2021
"saldo";"07/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"compras";"08/06/2021";"ELECTRONESKALA 112";"9212";-49,98;49,98;0;01/06/2021
"compras";"08/06/2021";"ELECTRONESKALA 112";"9212";-24,99;24,99;0;01/06/2021
"roupa";"08/06/2021";"ELECTRONTORRA TORRA";"9212";-263,93;263,93;0;01/06/2021
"saldo";"08/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"celular";"09/06/2021";"INT NEXTEL 9799999671486";"4175";-51;51;0;01/06/2021
"compras";"09/06/2021";"ELECTRONPAG*Juliana";"9212";-13,7;13,7;0;01/06/2021
"mercado";"09/06/2021";"ELECTRONSONDA TREME";"9212";-68,48;68,48;0;01/06/2021
"cabeleireiro";"09/06/2021";"PIX TRANSF  ALEXAND09/06";"9136";-25;25;0;01/06/2021
"creche";"09/06/2021";"PIX TRANSF  ESPACO 09/06";"9121";-422;422;0;01/06/2021
"saldo";"09/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"banco";"10/06/2021";"SEGURO CARTAO";"9293";-6,94;6,94;0;01/06/2021
"saldo";"10/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"farmacia";"11/06/2021";"ELECTRONPROMOFARMA";"9212";-45,58;45,58;0;01/06/2021
"mercado";"11/06/2021";"ELECTRONTRIMAIS II";"9212";-66,9;66,9;0;01/06/2021
"mercado";"11/06/2021";"ELECTRONTRIMAIS II";"9212";-7,38;7,38;0;01/06/2021
"pix";"11/06/2021";"PIX TRANSF  ANDRE N11/06";"9122";5492;0;5492;01/06/2021
"doação";"11/06/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/06/2021
"saldo";"11/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"enfermagem";"14/06/2021";"TIT PAG TIT ULO ITAU";"4175";-471,06;471,06;0;01/06/2021
"frango";"14/06/2021";"ELECTRONCARLOS REIS";"9212";-26;26;0;01/06/2021
"compras";"14/06/2021";"ELECTRONLANCHONETE";"9212";-5;5;0;01/06/2021
"compras";"14/06/2021";"ELECTRONLEGUMES& VE";"9212";-4;4;0;01/06/2021
"compras";"14/06/2021";"ELECTRONLOJAS AMERI";"9212";-24,97;24,97;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*produto";"9212";-3;3;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*CleberL";"9212";-10;10;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*Cristia";"9212";-6;6;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*DEDECOR";"9212";-5;5;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*Geraldo";"9212";-32;32;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*Henriqu";"9212";-3;3;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*JURACIA";"9212";-10;10;0;01/06/2021
"compras";"14/06/2021";"ELECTRONPAG*WaldirN";"9212";-5;5;0;01/06/2021
"farmacia";"14/06/2021";"ELECTRONPROMOFARMA";"9212";-19,9;19,9;0;01/06/2021
"compras";"14/06/2021";"ELECTRONSODIMAC";"9212";-15,9;15,9;0;01/06/2021
"compras";"14/06/2021";"ELECTRONSODIMAC";"9212";-21,89;21,89;0;01/06/2021
"mercado";"14/06/2021";"ELECTRONTRIMAIS II";"9212";-197,51;197,51;0;01/06/2021
"igreja";"14/06/2021";"PIX TRANSF  IMW 3 R12/06";"9779";-549,2;549,2;0;01/06/2021
"cartão de credito";"14/06/2021";"INT ITAUCARD";"4175";-4000;4000;0;01/06/2021
"saldo";"14/06/2021";"REND PAGO APLIC AUT MAIS";;0,01;0;0,01;01/06/2021
"saldo";"14/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"padaria";"15/06/2021";"ELECTRONARIZONA PAE";"9212";-12,56;12,56;0;01/06/2021
"saldo";"15/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"compras";"16/06/2021";"ELECTRONPAG*Juliana";"9212";-24,7;24,7;0;01/06/2021
"mercado";"16/06/2021";"ELECTRONTRIMAIS II";"9212";-112,71;112,71;0;01/06/2021
"saldo";"16/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"celular";"17/06/2021";"INT NEXTEL 9499999671486";"4175";-85;85;0;01/06/2021
"padaria";"17/06/2021";"ELECTRONARIZONA PAE";"9212";-4,21;4,21;0;01/06/2021
"farmacia";"17/06/2021";"ELECTRONDROGARIA PR";"9212";-43,98;43,98;0;01/06/2021
"farmacia";"17/06/2021";"ELECTRONPROMOFARMA";"9212";-9,98;9,98;0;01/06/2021
"mercado";"17/06/2021";"ELECTRONTRIMAIS II";"9212";-22,89;22,89;0;01/06/2021
"mercado";"17/06/2021";"ELECTRONTRIMAIS II";"9212";-157,53;157,53;0;01/06/2021
"compras";"17/06/2021";"SAQUE S/CARTAO 24H060890";"5086";-20;20;0;01/06/2021
"saldo";"17/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"padaria";"18/06/2021";"ELECTRONARIZONA PAE";"9212";-24,71;24,71;0;01/06/2021
"compras";"18/06/2021";"ELECTRONPAG*Juliana";"9212";-14,7;14,7;0;01/06/2021
"igreja";"18/06/2021";"PIX TRANSF  HELENIC18/06";"9773";-178,33;178,33;0;01/06/2021
"saldo";"18/06/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/06/2021
"saque";"21/06/2021";"SAQUE 24H 11286911 20/06";"5086";-100;100;0;01/06/2021
"compras";"21/06/2021";"ELECTRONBD";"9212";-11;11;0;01/06/2021
"compras";"21/06/2021";"ELECTRONCACAU SHOW";"9212";-10;10;0;01/06/2021
"frango";"21/06/2021";"ELECTRONPAG*Frigott";"9212";-100;100;0;01/06/2021
"compras";"21/06/2021";"ELECTRONPAG*OsneiSa";"9212";-4;4;0;01/06/2021
"farmacia";"21/06/2021";"ELECTRONPROMOFARMA";"9212";-51,69;51,69;0;01/06/2021
"mercado";"21/06/2021";"ELECTRONSONDA JACAN";"9212";-73,8;73,8;0;01/06/2021
"mercado";"21/06/2021";"ELECTRONTRIMAIS II";"9212";-140,75;140,75;0;01/06/2021
"saldo";"21/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"compras";"22/06/2021";"DEB AUTOR AZUL CIA SEG";"9293";-238,78;238,78;0;01/06/2021
"saldo";"22/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"alimentação";"23/06/2021";"ELECTRONMC DONALDS";"9212";-29,6;29,6;0;01/06/2021
"compras";"23/06/2021";"ELECTRONPAG*Juliana";"9212";-14,2;14,2;0;01/06/2021
"mercado";"23/06/2021";"ELECTRONTRIMAIS II";"9212";-72,92;72,92;0;01/06/2021
"saldo";"23/06/2021";"SALDO DO DIA";;;0;0;01/06/2021
"compras";"24/06/2021";"ELECTRONA PREFERIDA";"9212";-32,89;32,89;0;01/06/2021
"padaria";"24/06/2021";"ELECTRONARIZONA PAE";"9212";-36,84;36,84;0;01/06/2021
"gasolina";"24/06/2021";"ELECTRONAUTO POSTO";"9212";-9,98;9,98;0;01/06/2021
"mercado";"24/06/2021";"ELECTRONTRIMAIS II";"9212";-135,25;135,25;0;01/06/2021
"lazer";"24/06/2021";"PIX TRANSF  OPIUM M24/06";"9014";-100;100;0;01/06/2021
