"descricao";"DE-PARA"
"CEREAL NESCAU 210G";
"SAB. PROTEX 85G L6P5";
"C.D.COLGATE 120G";
"PAO NUTRELLA 350G";
"DANONINHO 70G";
"TORR.BAUD.284G";
"CAFE PILAO 500G TRAD";
"MAMAO PAPAYA KG";
"ALIMENTO SOJA ADES UVA 1L";
"UVA NUBIA IMP.4508";
"BISC.PANCO 400G MAIZ";
"BOMBOM NESTLE 2516";
"P.QUEIJO F.MINAS 1KG";
"SACOLA BIOPL.REUT.VDE.";
"BATATA PALHA YOKI 100G";
"CEBOLITOS 110G";
"CANECA KUKA 330ML";
"BATATA MCCAIN 6006";
"TODDY COOKIE 150G";
"AZ.GALLO 150G VD FAT";
"SUCRILHOS 250G";
"IUG. DANONE 160G DESN";
"COOKIES BAUD.600";
"GELAT. ROYAL 25G LIM";
"AG.BONAFONT 1,5L SG ";
"COOKIE BAUN.DIA 100G";
"DANETTE OANONE 1806";
"ACEM KG PCPD";
"P.QUEIJO F.M.4000";
"PRATO RAINHA PR15";
"GELAT.SOL 256 MOR";
"L. R. BRILHANTE 800G";
"GELAT.OETKER SSABOR";
"MANGA PALMER";
"MUSS.M.CASTELO KG FT";
"GELAT.SOL 25G ABAC";
"RED BULL 250 ML.";
"ALCOOL ZULU 70 1L";
"BISC.TODDY 139G";
"CONFEITO MAM $ 30G";
"PIP.YOKI 500G TRAD";
"LING TUSC.SEARA KG";
"MELANCIA SCASCA KO";
"PETIT DANONINHO 4806";
"CEREAL NESCAU 400G";
"LIMP.HR.MUSCULO RF";
"L PAULISTA IL INT";
"DET.LIMPOL 500ML NEU";
"IUG. DANONE 160G DESR";
"BOLO CREM.PAMONHA";
"Q.COTTAGE TIROL.200G";
"RFG FANTA 2L UVA";
"DEL VALLE IL 100%UVA";
"CX.ASA FRG.KG TEMP";
"LIPTON 1,5L LINAO";
"PAPEL HIG. FANCY C16";
"QUEIJO MUSS.FAT.EMB.KG";
"GELAT. ROYAL 25G LIN";
"ADES IL UVA";
"AP.PREST.3 L4 P3";
"COOKIES BAUD.96G";
"SUCO HARATA IL";
"MUSS.PIC NIC KG RAL";
"DES. REXONA AERO";
"PAPEL MIG FANCY C16";
"AGUA SANIT.S. CÂND 2L";
"NECTAR WARATA IL";
"TON GRAPE SOU 1.1806";
"PERA KG ARGWILLIAM";
"PALMER KG ";
"MARG. DORIANA 1KG";
"MUSS.PIC NIC KG BAL";
"MUSS. AURORA KG RAL.";
"BALA FINI 100G VINH";
"PATINHO NOIDO";
"PAN. GAROTO 400G";
"CHOCOT. BAUDUCCO 500G";
"IOGURTE YOPRO 250G";
"PATINHO MUIDO";
"AZ.RIVOLI 150G SC";
"CAFE PILAO 500G VAC.";
"ING. MORÁN. NEST.125";
"YOKI MAND 500G TER";
"ACUCAR UNIAO 1KG";
"TOAST BAUD128G";
"SAC.CINZA VAL. 1000UN";
"SUCO NAT.ONE 900ML";
"RUCULA F.S.DA T.150G";
"SAB DOVE 906 L P";
"PAO DE FORMA KIW 500G";
"PAO SOND.FRANC.KG";
"CHOCOT BAUDUCCO 500G";
"L.DANIE.KG CERVAS";
"CENOURA KG";
"NESTLE BONO WAF.110G";
"LIMP PERF SENSUALI";
"T.UM.SELECT W.C100";
"AMACIANTE DOWNY CONC.BR.VERAO 500ML";
"BISC.TODDY 133G";
"TODDY 600G ORIGINAL";
"PAG FRANCES";
"NESTLE WAFER 110G";
"SAB.DOVE 90G + P-";
"Osso BuCo KG";
"YOKITOS 546 CEBOLA";
"BATATA KG";
"DET.LIMPOL 500ML C6";
"QJO.FT MUS PRES 150G";
"OREGANO HIKARI 8G.";
"C.O.COLGATE 1206";
"BRIOCHE CALABRESA";
"ING. NESTLE 1,250G";
"GELAT.SOL 25G FRAN";
"ESFREBOM L4P3 BETTAN";
"B.TRIUNFO WAFER 115G";
"CLUB SOCIAL 144G";
"DANONINHO 3208 ALGOD";
"SUCO DEL VALLE UVA 100% 1L";
"IOG.DANONE 1,250G";
"NESCAFE 160G TRAD.";
"ACHOC.TODDY 750G";
